"";"pathway";"eg";"symbol";"ensembl"
"1";"path:hsa04650";"100132285";"KIR2DS2";"ENSG00000276258"
"2";"path:hsa04650";"100507436";"MICA";"ENSG00000204520"
"3";"path:hsa04650";"100528032";"KLRC4-KLRK1";"ENSG00000213809"
"4";"path:hsa04650";"102723407";"LOC102723407";"ENSG00000275063"
"5";"path:hsa04650";"10451";"VAV3";"ENSG00000134215"
"6";"path:hsa04650";"10870";"HCST";"ENSG00000126264"
"7";"path:hsa04650";"115653";"KIR3DL3";"ENSG00000242019"
"8";"path:hsa04650";"117157";"SH2D1B";"ENSG00000198574"
"9";"path:hsa04650";"135250";"RAET1E";"ENSG00000164520"
"10";"path:hsa04650";"1437";"CSF2";"ENSG00000164400"
"11";"path:hsa04650";"154064";"RAET1L";"ENSG00000155918"
"12";"path:hsa04650";"2185";"PTK2B";"ENSG00000120899"
"13";"path:hsa04650";"2207";"FCER1G";"ENSG00000158869"
"14";"path:hsa04650";"2214";"FCGR3A";"ENSG00000203747"
"15";"path:hsa04650";"2215";"FCGR3B";"ENSG00000162747"
"16";"path:hsa04650";"22914";"KLRK1";"ENSG00000213809"
"17";"path:hsa04650";"2534";"FYN";"ENSG00000010810"
"18";"path:hsa04650";"25759";"SHC2";"ENSG00000129946"
"19";"path:hsa04650";"259197";"NCR3";"ENSG00000204475"
"20";"path:hsa04650";"27040";"LAT";"ENSG00000213658"
"21";"path:hsa04650";"2885";"GRB2";"ENSG00000177885"
"22";"path:hsa04650";"3002";"GZMB";"ENSG00000100453"
"23";"path:hsa04650";"3105";"HLA-A";"ENSG00000206503"
"24";"path:hsa04650";"3106";"HLA-B";"ENSG00000234745"
"25";"path:hsa04650";"3107";"HLA-C";"ENSG00000204525"
"26";"path:hsa04650";"3133";"HLA-E";"ENSG00000204592"
"27";"path:hsa04650";"3135";"HLA-G";"ENSG00000204632"
"28";"path:hsa04650";"3265";"HRAS";"ENSG00000174775"
"29";"path:hsa04650";"3383";"ICAM1";"ENSG00000090339"
"30";"path:hsa04650";"3384";"ICAM2";"ENSG00000108622"
"31";"path:hsa04650";"3439";"IFNA1";"ENSG00000197919"
"32";"path:hsa04650";"3440";"IFNA2";"ENSG00000188379"
"33";"path:hsa04650";"3441";"IFNA4";"ENSG00000236637"
"34";"path:hsa04650";"3442";"IFNA5";"ENSG00000147873"
"35";"path:hsa04650";"3443";"IFNA6";"ENSG00000120235"
"36";"path:hsa04650";"3444";"IFNA7";"ENSG00000214042"
"37";"path:hsa04650";"3445";"IFNA8";"ENSG00000120242"
"38";"path:hsa04650";"3446";"IFNA10";"ENSG00000186803"
"39";"path:hsa04650";"3447";"IFNA13";"ENSG00000233816"
"40";"path:hsa04650";"3448";"IFNA14";"ENSG00000228083"
