"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"TAMALIN";"TAMALIN";-0,851769386787756;3,24024375942987;-3,95117969199896;0,000711411009933103;0,998602651674656;-4,26954483702202
"TAF9";"TAF9";0,446851607393272;6,04465464443493;3,56775233969068;0,00178151870677228;0,998602651674656;-3,2501194896857
"CHST2";"CHST2";-0,501588454915045;6,92002158452455;-3,48137999852459;0,00218724394759554;0,998602651674656;-3,2641872940155
"MIR4435-2HG";"MIR4435-2HG";0,581784956588414;6,04718721784368;3,36044519063003;0,00291107608503604;0,998602651674656;-3,3742280763522
"ITGAX";"ITGAX";-0,621013303733082;5,59982933165161;-3,23052930138675;0,00394911325915917;0,998602651674656;-3,51657402757671
"CDH24";"CDH24";-0,447863427123967;4,50372876466578;-3,2168589232624;0,00407730514528998;0,998602651674656;-3,74419871168623
"PDE4A";"PDE4A";-0,610502315638153;6,99196810443009;-3,19477955351222;0,00429292922162841;0,998602651674656;-3,44517311375322
"KMT5C";"KMT5C";-0,449318479621857;4,35338432640369;-3,15802294593762;0,00467665291804272;0,998602651674656;-3,87302314264441
"ATP5MK";"ATP5MK";0,490067873296829;7,19449677525911;3,14523124950247;0,00481783145270794;0,998602651674656;-3,48281774168948
"SNORA61";"SNORA61";0,533089279100132;6,19657251460824;3,12419914850627;0,00505897151802148;0,998602651674656;-3,49790985109696
"DERL2";"DERL2";0,241466188159834;5,21381376573261;3,12284058802593;0,00507494305764947;0,998602651674656;-3,62128557769712
"KSR1";"KSR1";-0,470383680339794;4,89005882630366;-3,10068628976646;0,00534237830677692;0,998602651674656;-3,69864237028149
"GLTP";"GLTP";0,303781712918642;6,26057590710828;3,10061884768857;0,00534321286468424;0,998602651674656;-3,50788388672484
"CIR1";"CIR1";0,269385685926691;6,33339959474303;3,0688374780513;0,005750825517532;0,998602651674656;-3,52248849732519
"SDAD1";"SDAD1";0,298446566264482;5,80844490388842;3,04341111848148;0,00609838282340826;0,998602651674656;-3,58346804592822
"RGS2";"RGS2";-0,668046239670465;6,15300078239787;-3,02966045667551;0,00629469057762014;0,998602651674656;-3,57716732527256
"NOC3L";"NOC3L";0,33155852707284;4,66243780052146;2,98421532334201;0,00698769850278962;0,998602651674656;-3,81488845816466
"MCEE";"MCEE";-0,485467902398595;4,40833038285579;-2,97782098993881;0,0070909096800369;0,998602651674656;-3,90052346397808
"PFKFB3";"PFKFB3";-0,740344907304814;5,64771941214846;-2,97265067239869;0,00717543345262218;0,998602651674656;-3,65187785558279
"NIPA2";"NIPA2";0,25667893007944;5,82517150032908;2,91295217548548;0,00822414474105404;0,998602651674656;-3,66240564230182
"MAX";"MAX";0,223396459893755;6,33126712589676;2,89832320693491;0,00850270071658105;0,998602651674656;-3,62827202825033
"RELT";"RELT";-0,442507735291583;6,04341859513555;-2,89246771286083;0,00861670904149459;0,998602651674656;-3,65491118501781
"FHL3";"FHL3";-0,262362487386996;6,21222349548567;-2,8923082267773;0,00861983465436684;0,998602651674656;-3,64101708645493
"CEP20";"CEP20";0,270194237749871;5,69848349806813;2,87228183757455;0,00902104798165467;0,998602651674656;-3,70816790700943
"TP53INP2";"TP53INP2";-0,578046255309369;4,62536332270382;-2,86512645990016;0,00916868153294884;0,998602651674656;-3,92626160615853
"FURIN";"FURIN";-0,516002261478075;8,81716284450364;-2,86452585701015;0,00918117794914234;0,998602651674656;-3,75377063492642
"MAN1C1";"MAN1C1";-0,411859374459754;3,93654702584556;-2,85339537528422;0,00941572912778122;0,998602651674656;-4,20948996485532
