"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"HVCN1";"HVCN1";1,05090656743553;5,0118471756149;14,2966721341155;1,32626587735359e-11;3,73927401461071e-07;16,5491501524783
"NXPH4";"NXPH4";0,916762021599055;5,07292989790089;12,8687247383602;8,15811102190777e-11;7,7750400820117e-07;14,9175781750902
"CDHR5";"CDHR5";0,715451913748999;6,01397189604897;12,8581958201912;8,27307946585624e-11;7,7750400820117e-07;15,0010559861219
"SLC7A5";"SLC7A5";0,804550017965263;6,30452423511553;12,3122348674434;1,73144554548924e-10;9,57539297791901e-07;14,2856743735844
"SCT";"SCT";0,723235020762388;5,89464829666303;12,2663234462398;1,84455858784339e-10;9,57539297791901e-07;14,221625387736
"LOC729164";"LOC729164";-1,18792680966228;3,39466201142633;-12,1943329917215;2,03775121896553e-10;9,57539297791901e-07;13,4774322769817
"S100Z";"S100Z";-1,42856345232901;2,89917862042172;-11,8179234191106;3,45656610196687e-10;1,00722424851637e-06;12,4273057270747
"NCAM2";"NCAM2";-1,01922865810035;4,26031444251382;-11,7898523852529;3,59737811238511e-10;1,00722424851637e-06;13,4658240062051
"LOC105371400";"LOC105371400";0,997926314722249;5,76611297289353;11,6862472296105;4,17125356444471e-10;1,00722424851637e-06;13,4208719095896
"LOC105371399";"LOC105371399";0,969700688485217;6,28093369244524;11,6826296926386;4,19294305251206e-10;1,00722424851637e-06;13,4221909435275
"LOC102724467";"LOC102724467";0,969700688485217;6,28093369244524;11,6826296926386;4,19294305251206e-10;1,00722424851637e-06;13,4221909435275
"LOC105369174";"LOC105369174";0,795440802083138;5,49507435496111;11,4480333737411;5,88490620732555e-10;1,00722424851637e-06;13,0819955862996
"LOC105378948";"LOC105378948";0,795440802083138;5,49507435496111;11,4480333737411;5,88490620732555e-10;1,00722424851637e-06;13,0819955862996
"LOC105369979";"LOC105369979";1,50699943923997;4,85157247483699;11,4352678268604;5,99537536643459e-10;1,00722424851637e-06;12,882332251975
"MIR642A";"MIR642A";0,976477924110691;5,29165378745665;11,3667673567504;6,62635004402165e-10;1,00722424851637e-06;12,9503593978642
"MIR642B";"MIR642B";0,976477924110691;5,29165378745665;11,3667673567504;6,62635004402165e-10;1,00722424851637e-06;12,9503593978642
"LOC105372403";"LOC105372403";0,873680079289301;5,82806941458711;11,362311330862;6,66972973216107e-10;1,00722424851637e-06;12,9655906559528
"C10orf10";"C10orf10";-0,757562628257359;4,53808003869205;-11,3421487583223;6,86975724479261e-10;1,00722424851637e-06;12,8992499020885
"LOC105376629";"LOC105376629";1,12623149873174;4,88008912103181;11,3000405253635;7,3079971423353e-10;1,00722424851637e-06;12,7799720697512
"RNF126";"RNF126";0,761500145891761;6,25254106497952;11,280084272001;7,52580649836777e-10;1,00722424851637e-06;12,8495062127874
"PIK3CD-AS2";"PIK3CD-AS2";0,834433269491693;5,16911537438172;11,2676286197102;7,66518225694523e-10;1,00722424851637e-06;12,8057410187542
"RNF223";"RNF223";0,893062191270477;5,05367673980624;11,2506568325399;7,85945004871961e-10;1,00722424851637e-06;12,7681383804712
"METRNL";"METRNL";1,06803252009497;5,0278459737088;11,2170095406414;8,25996700401196e-10;1,0125283030918e-06;12,7042152028375
"ZBTB17";"ZBTB17";0,595443398887574;5,59399648420318;10,9715025679524;1,19115454043187e-09;1,39930879637233e-06;12,397250517925
"LOC105372824";"LOC105372824";0,813095182976888;5,34885786426444;10,905967520489;1,31478892905211e-09;1,48276636262781e-06;12,29416488939
"ADAMTS1";"ADAMTS1";-0,722981719044903;3,96467023027572;-10,86196536562;1,40526877849633e-09;1,51221682711556e-06;12,100273020989
"CA5A";"CA5A";0,916838279204481;4,37034383767606;10,8421233847604;1,44817529730156e-09;1,51221682711556e-06;12,0147466625556
"CELF5";"CELF5";0,83043596886237;4,65011728643941;10,8048678223638;1,53247603393354e-09;1,54309390359722e-06;12,0689651809658
"IRF7";"IRF7";0,713367971112349;6,18063684316128;10,6689278706364;1,88619410635297e-09;1,83377091843157e-06;11,9452595671468
"TGIF1";"TGIF1";0,703269428279687;5,37262206716223;10,5709587739808;2,19335125498566e-09;1,99481758977631e-06;11,7963173518902
"LOC101927094";"LOC101927094";0,703269428279687;5,37262206716223;10,5709587739808;2,19335125498566e-09;1,99481758977631e-06;11,7963173518902
"DPP4";"DPP4";-1,38990161072335;2,68387373526843;-10,5282497070528;2,34320430872192e-09;2,0645094462533e-06;10,603805203819
"LOC101928215";"LOC101928215";0,988979482340899;5,06329544453501;10,270919315968;3,50383922637782e-09;2,9935528226817e-06;11,3224541405725
"MANEA-AS1";"MANEA-AS1";0,74940255431597;6,09603807415429;10,1859695483755;4,00787034148393e-09;3,22851132593708e-06;11,2008457093228
"MANEA";"MANEA";0,74940255431597;6,09603807415429;10,1859695483755;4,00787034148393e-09;3,22851132593708e-06;11,2008457093228
"GIPR";"GIPR";0,643124841941758;6,14271811779018;10,1607933815105;4,17136907588685e-09;3,26687721459871e-06;11,1607713764627
"SLA";"SLA";0,734915468149902;4,55534658277779;9,98919207119696;5,48849259632531e-09;4,18223135839988e-06;10,8485286823263
"LOC105379097";"LOC105379097";0,61708042660638;6,4511352045043;9,89042560219106;6,43717495098158e-09;4,7760450149467e-06;10,7311607180554
"ZDHHC20";"ZDHHC20";0,725989783084477;4,91221018121054;9,78135094340313;7,68640667575735e-09;5,55668076452058e-06;10,5606442491849
