"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"ERCC8";"ERCC8";-0,363871085740844;6,48932652657922;-4,54204310853262;0,000224161244348951;0,999913468661439;-1,49553646044964
"LOC101928461";"LOC101928461";-0,463909247907807;4,1322284099366;-4,50952800907135;0,000241291789471832;0,999913468661439;-2,65619075871175
"LOC105370671";"LOC105370671";2,56630692694496;0,262623527893482;4,31825365905044;0,000372522527906466;0,999913468661439;-4,5169842095591
"CD28";"CD28";-0,468478939733248;3,53858489675543;-4,19995435707011;0,000487668696767;0,999913468661439;-3,3184492566195
"MIR4716";"MIR4716";-0,379416898892663;4,81725764575229;-4,05718691411564;0,000675299259722248;0,999913468661439;-2,15722773159485
"ORM2";"ORM2";0,757357929774854;2,9110281223528;3,99216455670272;0,000783290120238386;0,999913468661439;-3,95259497042069
"LOC102724152";"LOC102724152";-0,50311513782634;3,96799793740865;-3,98366447829696;0,000798629847428814;0,999913468661439;-3,2570256282512
"NDUFAF2";"NDUFAF2";-0,238472654768358;6,09017593885946;-3,84947704843045;0,00108467965837199;0,999913468661439;-2,1194429686229
"LOC102723838";"LOC102723838";1,16984072809455;2,08396681564866;3,84236868136534;0,00110240857294776;0,999913468661439;-4,32341880040494
"MIR5008";"MIR5008";-0,391979668595374;4,10642957637172;-3,84213927172807;0,00110298552878884;0,999913468661439;-2,93268547544519
"UPRT";"UPRT";-0,31738898586657;5,78648175632451;-3,83207959470701;0,00112858341662994;0,999913468661439;-2,15512284260154
"LOC100134040";"LOC100134040";-0,62072941541084;3,36239515622425;-3,76603397189013;0,00131198462137811;0,999913468661439;-3,73505097520229
"KIAA0825";"KIAA0825";-0,478696704418637;4,74850500640284;-3,66711561318515;0,00164351988262346;0,999913468661439;-2,66909466510631
"NAP1L5";"NAP1L5";-0,332619489786699;4,41581290749165;-3,65041720384331;0,001707171817574;0,999913468661439;-2,90207789623367
"ZNF622";"ZNF622";-0,283262759774657;5,12082747884791;-3,61484320595066;0,00185104008774094;0,999913468661439;-2,51107453566922
"SLURP1";"SLURP1";0,29878133321915;5,74097775693307;3,59417117008339;0,0019400948063738;0,999913468661439;-2,37910097839763
"FAM217A";"FAM217A";-0,274705164520308;5,20679714456448;-3,55114800544793;0,00213926098276565;0,999913468661439;-2,50901989164478
"LINC00477";"LINC00477";1,09874383938274;1,776591028855;3,51578052821058;0,00231802477211673;0,999913468661439;-4,38253534604364
"SLC2A4RG";"SLC2A4RG";0,299380756874035;4,76424610264852;3,47733633341568;0,00252909654503218;0,999913468661439;-2,77472136588385
"NRAS";"NRAS";-0,287890878397625;5,90060390896582;-3,44034724197505;0,00275003513082737;0,999913468661439;-2,5405672894597
"AMH";"AMH";0,683995879839397;3,03484964270542;3,4089286040663;0,00295255746327045;0,999913468661439;-3,86741961181461
"MIR4321";"MIR4321";0,683995879839397;3,03484964270542;3,4089286040663;0,00295255746327045;0,999913468661439;-3,86741961181461
"JSRP1";"JSRP1";0,683995879839397;3,03484964270542;3,4089286040663;0,00295255746327045;0,999913468661439;-3,86741961181461
"LIME1";"LIME1";0,290299534086971;4,63573417968993;3,40516907222278;0,00297775378520892;0,999913468661439;-2,88969375785863
"LOC105376404";"LOC105376404";0,530961478275877;3,31281859918041;3,38813611881484;0,00309458444827289;0,999913468661439;-3,73896848485571
"LOC105378078";"LOC105378078";-0,585548058911256;2,70101536958086;-3,38576663621166;0,00311119016002448;0,999913468661439;-4,07262178760497
"LOC105373216";"LOC105373216";0,751879084154979;2,52753479578382;3,35747648670263;0,00331634770011974;0,999913468661439;-4,24129671932483
"LOC102723619";"LOC102723619";-0,243191807629112;5,79302263097084;-3,34860146839601;0,00338340602631796;0,999913468661439;-2,63117529229278
"MIR320C1";"MIR320C1";-0,411363692133862;3,67741405102941;-3,34668362311703;0,00339807102891738;0,999913468661439;-3,61968563712835
"LOC105371055";"LOC105371055";0,528534289595401;3,72150089517922;3,32156775807016;0,00359597957359688;0,999913468661439;-3,58401902253247
"LOC105376995";"LOC105376995";-0,78524678285816;1,74309189153363;-3,30836674932657;0,00370449178055987;0,999913468661439;-4,30608079401049
"BEX2";"BEX2";-0,499253752970207;4,59789959446408;-3,30714773446241;0,00371467255639786;0,999913468661439;-3,03460304443416
"CATIP";"CATIP";0,263780259866263;4,68069600424382;3,29124352591117;0,0038500391272474;0,999913468661439;-2,9361293451337
"CATIP-AS1";"CATIP-AS1";0,263780259866263;4,68069600424382;3,29124352591117;0,0038500391272474;0,999913468661439;-2,9361293451337
"UTY";"UTY";-0,305849377672616;4,28532751360641;-3,28194380603068;0,00393142019531254;0,999913468661439;-3,14730839929434
"LOC105374875";"LOC105374875";-0,358913055649408;4,37828027338249;-3,27378450449811;0,00400420776502269;0,999913468661439;-3,08512524078447
"EXD2";"EXD2";0,428606951955206;3,88272598384728;3,26159191762567;0,00411544126298011;0,999913468661439;-3,47014099298708
"FAM230C";"FAM230C";1,16984842062765;4,7274737463658;3,25662819893482;0,00416158693053628;0,999913468661439;-2,8808790339809
"ZDBF2";"ZDBF2";0,561063805282186;3,47302222509163;3,24729348371127;0,00424974354600341;0,999913468661439;-3,6832589926273
"LOC105378659";"LOC105378659";-0,461579511746696;4,28148033637112;-3,22560482743154;0,00446168292499597;0,999913468661439;-3,32420634369142
"SCML2";"SCML2";0,84406079523838;2,28184945389481;3,21677469521193;0,0045508995988146;0,999913468661439;-4,32339505011148
"GYPC";"GYPC";-0,270262791302597;4,87188523451082;-3,21207720661614;0,00459906943344466;0,999913468661439;-2,99319998076079
"TSPYL5";"TSPYL5";-0,28185760121105;5,22792543487576;-3,21087580719914;0,00461146881579475;0,999913468661439;-2,89573403656404
"ACER3";"ACER3";0,288391977288956;4,44923841510495;3,20718368793486;0,00464977912587017;0,999913468661439;-3,15817683054531
"C9orf129";"C9orf129";-0,357032288453238;4,0162580910001;-3,20093938391999;0,00471528014890651;0,999913468661439;-3,3222149696897
"LOC105376151";"LOC105376151";-0,357032288453238;4,0162580910001;-3,20093938391999;0,00471528014890651;0,999913468661439;-3,3222149696897
"LOC105373407";"LOC105373407";-0,538598313220843;4,97420035291921;-3,1972935626928;0,00475393954920433;0,999913468661439;-2,90007732416307
"LOC101930072";"LOC101930072";0,614259737047711;3,47155517552565;3,19650183437553;0,00476237565495209;0,999913468661439;-3,76077837789869
"LOC105372020";"LOC105372020";-0,35482230965336;4,96945944892594;-3,19283543818125;0,00480163316606854;0,999913468661439;-3,02268309030424
"CADM1";"CADM1";-0,407132077505231;3,66096744212473;-3,19262036345161;0,00480394583780847;0,999913468661439;-3,59271462266728
"LOC105376119";"LOC105376119";-0,489130455995122;3,80505559396974;-3,18753253138649;0,00485897285890332;0,999913468661439;-3,58876680165895
"IGLC6";"IGLC6";-0,417163694815125;4,39165211662683;-3,17599339281299;0,00498606295012683;0,999913468661439;-3,14141635617567
"LOC105372947";"LOC105372947";-0,417163694815125;4,39165211662683;-3,17599339281299;0,00498606295012683;0,999913468661439;-3,14141635617567
"IGLJ7";"IGLJ7";-0,417163694815125;4,39165211662683;-3,17599339281299;0,00498606295012683;0,999913468661439;-3,14141635617567
"IGLC7";"IGLC7";-0,417163694815125;4,39165211662683;-3,17599339281299;0,00498606295012683;0,999913468661439;-3,14141635617567
"LOC105375431";"LOC105375431";0,473361108417797;4,46568062200314;3,16185080525737;0,0051462551074433;0,999913468661439;-3,13647369455698
"MUC3A";"MUC3A";0,473361108417797;4,46568062200314;3,16185080525737;0,0051462551074433;0,999913468661439;-3,13647369455698
"ANKRD45";"ANKRD45";-0,348601927182964;5,79465028284528;-3,13486723392744;0,00546593094755863;0,999913468661439;-2,84754179531679
"LOC105378940";"LOC105378940";-0,225215075777157;5,30954964004647;-3,13122780032758;0,00551050132295075;0,999913468661439;-2,92590346153059
