"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"HVCN1";"HVCN1";0,99274290202181;5,0118471756149;12,2470755146855;1,89425668696268e-10;5,34066730322257e-06;13,9427208752949
"NXPH4";"NXPH4";0,90623904308004;5,07292989790089;11,4876812115043;5,55517517499318e-10;7,58730057226065e-06;12,9986929911679
"SLC7A5";"SLC7A5";0,814655464804346;6,30452423511553;11,1393778981084;9,26762771653016e-10;7,58730057226065e-06;12,6147447403569
"CDHR5";"CDHR5";0,687077793802183;6,01397189604897;11,039005757579;1,07644187731583e-09;7,58730057226065e-06;12,4695114774713
"LOC105372403";"LOC105372403";0,900671438222521;5,82806941458711;10,499599777729;2,44969022543779e-09;9,36916512798562e-06;11,6709018761501
"SCT";"SCT";0,691054043539394;5,89464829666303;10,4788008012823;2,53015408708351e-09;9,36916512798562e-06;11,6428324096067
"RNF126";"RNF126";0,787040631316051;6,25254106497952;10,4151194109189;2,79412883305921e-09;9,36916512798562e-06;11,5489093039878
"MIR642A";"MIR642A";0,977854217742807;5,29165378745665;10,282846303076;3,43855968758015e-09;9,36916512798562e-06;11,3140063375634
"MIR642B";"MIR642B";0,977854217742807;5,29165378745665;10,282846303076;3,43855968758015e-09;9,36916512798562e-06;11,3140063375634
"LOC105376629";"LOC105376629";1,11671617440673;4,88008912103181;10,2378731871135;3,69155613941724e-09;9,36916512798562e-06;11,1623257580254
"NCAM2";"NCAM2";-1,13583808017097;4,26031444251382;-10,1598681508025;4,1775087005493e-09;9,36916512798562e-06;10,9014759763216
"LOC105371399";"LOC105371399";0,940008074591313;6,28093369244524;10,1333626998994;4,35745829791749e-09;9,36916512798562e-06;11,117015126117
"LOC102724467";"LOC102724467";0,940008074591313;6,28093369244524;10,1333626998994;4,35745829791749e-09;9,36916512798562e-06;11,117015126117
"METRNL";"METRNL";1,05690266590309;5,0278459737088;10,0923044629359;4,65234843554652e-09;9,36916512798562e-06;10,9879856396123
"LOC105369174";"LOC105369174";0,772812545366798;5,49507435496111;9,96628732308977;5,6946669003797e-09;9,57971534560464e-06;10,8471918166334
"LOC105378948";"LOC105378948";0,772812545366798;5,49507435496111;9,96628732308977;5,6946669003797e-09;9,57971534560464e-06;10,8471918166334
"ZBTB17";"ZBTB17";0,605757290526838;5,59399648420318;9,95746357723006;5,77623469090157e-09;9,57971534560464e-06;10,8387520831587
"LOC105371400";"LOC105371400";0,937888786205703;5,76611297289353;9,87077816201817;6,6454861145593e-09;1,0409046417438e-05;10,7020755881774
"LOC105369979";"LOC105369979";1,39940816685605;4,85157247483699;9,83137688739808;7,08470938159365e-09;1,05129629634027e-05;10,4897322211422
"CA5A";"CA5A";0,90323107180024;4,37034383767606;9,70215676534703;8,75026126889706e-09;1,23352433107642e-05;10,2213758686916
"PIK3CD-AS2";"PIK3CD-AS2";0,796813931614925;5,16911537438172;9,66644174668542;9,27925332200613e-09;1,24580603886019e-05;10,3573363267425
"C10orf10";"C10orf10";-0,783350237853591;4,53808003869205;-9,5606043745935;1,10518207512534e-08;1,416341064822e-05;10,1305853624383
"LOC105372824";"LOC105372824";0,782215640798441;5,34885786426444;9,40908812153059;1,4227051047368e-08;1,64784316162663e-05;9,95612159678378
"LOC729164";"LOC729164";-1,19550166769859;3,39466201142633;-9,38861032517801;1,4724109384598e-08;1,64784316162663e-05;9,17628217720042
"IRF7";"IRF7";0,701047204580179;6,18063684316128;9,37087867027044;1,51691291360283e-08;1,64784316162663e-05;9,90033938651703
"RNF223";"RNF223";0,827257973551884;5,05367673980624;9,36943597896083;1,52059483914444e-08;1,64784316162663e-05;9,87279656687233
"CELF5";"CELF5";0,798454502889734;4,65011728643941;9,34738034967643;1,57805793303252e-08;1,64784316162663e-05;9,7805788841739
"TGIF1";"TGIF1";0,677038330567042;5,37262206716223;9,09428855013582;2,42549078568957e-08;2,32444153669464e-05;9,43993130139116
"LOC101927094";"LOC101927094";0,677038330567042;5,37262206716223;9,09428855013582;2,42549078568957e-08;2,32444153669464e-05;9,43993130139116
"SHMT2";"SHMT2";0,639331937207858;5,2018576002317;9,06456169479829;2,55239100694199e-08;2,32444153669464e-05;9,38824421391769
"S100Z";"S100Z";-1,50363569995314;2,89917862042172;-9,06378885416458;2,55578093344449e-08;2,32444153669464e-05;7,92657885707792
"GIPR";"GIPR";0,634895102191191;6,14271811779018;8,96184792252251;3,04673729124205e-08;2,68436597466494e-05;9,21631568796064
"MANEA-AS1";"MANEA-AS1";0,726742721144746;6,09603807415429;8,83265033777487;3,81374377348053e-08;3,13520442738185e-05;8,99594208183239
"MANEA";"MANEA";0,726742721144746;6,09603807415429;8,83265033777487;3,81374377348053e-08;3,13520442738185e-05;8,99594208183239
"IGHA1";"IGHA1";1,94015214156362;3,7768531165096;8,82101597769464;3,89203926219638e-08;3,13520442738185e-05;7,98396893577026
"SLC29A4";"SLC29A4";0,999806910254749;4,93296320497775;8,78417939918554;4,15116023074434e-08;3,25105032071128e-05;8,89704819925316
