"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"ATP2B1";"ATP2B1";-1,24108656336718;4,91371661026214;-6,29514507185912;2,82208862419766e-06;0,0220828434843467;4,65778015397425
"CTRL";"CTRL";0,65131739212608;5,80773298938153;5,82859563117981;8,17905152122276e-06;0,0320005390767841;3,73322270795305
"SNORA3B";"SNORA3B";1,04444128061909;7,02340874878487;5,44038900191565;2,01904004248899e-05;0,033959189186723;2,91289188116873
"GART";"GART";-0,593013327568823;6,14371214973252;-5,42338259277474;2,10128450189745e-05;0,033959189186723;2,87619918521619
"WSB1";"WSB1";-1,07921099905163;6,38927981047115;-5,35930972756791;2,44296769552354e-05;0,033959189186723;2,73642333889514
"TMEM69";"TMEM69";-0,69624997764704;5,14690190126713;-5,12651858343161;4,23587426920062e-05;0,033959189186723;2,21519384222705
"GSPT1";"GSPT1";-0,774952214962308;5,63297012679853;-5,08151230744867;4,71379739532288e-05;0,033959189186723;2,12480457149774
"BCAT1";"BCAT1";-2,10910464277526;3,0397431404492;-5,05871610542173;4,97636058911146e-05;0,033959189186723;0,864053139169979
"CNST";"CNST";-0,486417814362706;4,38438168416101;-5,0564192219863;5,00362396203852e-05;0,033959189186723;2,0153727879663
"RGS1";"RGS1";1,92514470455292;7,49041389012012;5,04380739264956;5,1560410374579e-05;0,033959189186723;2,04291995111292
"SPAG9";"SPAG9";-1,05679325868217;5,63645301938555;-4,98629031907644;5,91301858825982e-05;0,033959189186723;1,91568803602736
"WDR3";"WDR3";-0,598622606488525;4,95980029839276;-4,96874170441768;6,16566633441461e-05;0,033959189186723;1,86939149440817
"CCDC32";"CCDC32";0,437713217160598;4,61143718882498;4,95451725304695;6,3784507637413e-05;0,033959189186723;1,79882403262171
"RGCC";"RGCC";1,15618971764554;5,9079518163089;4,93846303109327;6,62754468161684e-05;0,033959189186723;1,80958972799283
"DDX39A";"DDX39A";0,89732696323682;9,23345609284042;4,90484419935068;7,18150780408027e-05;0,033959189186723;1,73138212223868
"VEZT";"VEZT";-0,5965980268002;4,55646315124404;-4,88734875866315;7,4880791840663e-05;0,033959189186723;1,67185503009026
"MFN1";"MFN1";-0,680409569440659;4,79292575315045;-4,85975674244122;7,99868002756906e-05;0,033959189186723;1,62717847706492
"PRKCI";"PRKCI";-0,908768032848537;3,92495674634136;-4,81733578656735;8,8531830646689e-05;0,033959189186723;1,29323511767497
"NBPF15";"NBPF15";-1,07385806845543;4,38047133459534;-4,78982455935993;9,45605819967078e-05;0,033959189186723;1,42251832788106
"COA7";"COA7";-0,941376100174632;3,91180772057267;-4,76093129622788;0,000101338970346697;0,033959189186723;1,15064322998556
"NCAPH2";"NCAPH2";0,739122095494314;7,73075746039622;4,7529475396875;0,00010329697464493;0,033959189186723;1,39903939662848
"NOC3L";"NOC3L";-0,538780115469671;4,66243780052146;-4,74367614187378;0,000105618709559134;0,033959189186723;1,37104204042582
"SLC41A1";"SLC41A1";-0,600373324613978;5,31166308514543;-4,74337251566484;0,000105695626944478;0,033959189186723;1,37954272826734
"ATP6V1A";"ATP6V1A";-0,610661473359075;5,21482075024542;-4,74062762789948;0,000106393555796216;0,033959189186723;1,37334936585065
"FEZ1";"FEZ1";0,726600033769349;6,80017292510271;4,73246804938204;0,000108495812098157;0,033959189186723;1,35176407656544
"SLC30A9";"SLC30A9";-0,676209654919629;5,03527038841524;-4,71001515465396;0,000114499385392179;0,0344599111805308;1,30510351644731
"NFKBIA";"NFKBIA";1,00956020128782;10,193968374045;4,67091947371016;0,000125763426887171;0,0355538353048976;1,21390861943716
"RPRD1A";"RPRD1A";-0,647347191269964;3,95190032680473;-4,66611894681993;0,000127221391506343;0,0355538353048976;1,03417166339748
"NXT1";"NXT1";0,574015141799162;6,55242988409517;4,61257772299411;0,000144683122608086;0,0355714452996196;1,08394454480009
"CDK2AP2";"CDK2AP2";0,722983649329104;7,57648703754185;4,6038562571792;0,000147747857459425;0,0355714452996196;1,06591036976088
"DGCR8";"DGCR8";0,335592570267693;6,25507335016532;4,5916073406848;0,000152162772406404;0,0355714452996196;1,03822056464212
"ILKAP";"ILKAP";0,488647008330335;7,06009335896519;4,58610462226444;0,0001541891116615;0,0355714452996196;1,02416219077525
"TRIO";"TRIO";-1,32841436585795;5,12757497166243;-4,5855865820895;0,000154381269061021;0,0355714452996196;1,03170269773554
"CTSW";"CTSW";0,941254016899771;11,1695130255586;4,5570464491751;0,000165348481737863;0,0355714452996196;0,958940013635957
"RELT";"RELT";0,739709387990183;6,04341859513555;4,55122660793328;0,000167679324841412;0,0355714452996196;0,951036300205773
"TOMM20";"TOMM20";-0,652221203985664;6,54471892921311;-4,54136662211552;0,000171703888945973;0,0355714452996196;0,92349432157336
"SRSF7";"SRSF7";0,665486622187181;8,45421566480536;4,53822852649599;0,000173005031918832;0,0355714452996196;0,925285973563335
"CFAP97";"CFAP97";-0,448119767914701;4,34662369449327;-4,516627854422;0,000182234243885024;0,0355714452996196;0,864975120252573
"LARP4";"LARP4";-0,696809569241301;4,10155285460947;-4,49892970662994;0,000190163695497035;0,0355714452996196;0,76374159243684
"NFKBIB";"NFKBIB";0,671340345193623;7,57550990253755;4,49513210782583;0,000191909833227025;0,0355714452996196;0,823233569439667
"CFL2";"CFL2";-1,4751575875355;4,14225936344689;-4,49384733399133;0,000192504211566185;0,0355714452996196;0,713129066047923
"MIDN";"MIDN";-0,963759906428152;6,4525830975424;-4,44279554507556;0,00021768072816403;0,0355714452996196;0,70396609272527
"SETD7";"SETD7";-1,94376342670287;3,64842865305197;-4,44248630176877;0,000217842896796121;0,0355714452996196;0,281992612650725
"SEC62";"SEC62";-0,519297470845067;5,17366647412865;-4,43105285987937;0,000223924520416997;0,0355714452996196;0,690286652582571
"LRRK1";"LRRK1";-2,13643519776433;2,55173656374477;-4,41966388190064;0,000230151864178623;0,0355714452996196;-0,705854536178368
"WDR45B";"WDR45B";-0,369899674542865;6,62905073633375;-4,41707361791488;0,000231592266693615;0,0355714452996196;0,644086611322241
"RAB15";"RAB15";0,803325440234093;3,88083672306499;4,41484370712593;0,000232839524136021;0,0355714452996196;0,178442549697978
"AMIGO3";"AMIGO3";0,943585049372743;4,18597957776555;4,41308549790404;0,000233827693378512;0,0355714452996196;0,355245346947547
"GZMA";"GZMA";0,939275856574673;11,5449775766831;4,41293963865943;0,000233909859609658;0,0355714452996196;0,64445360240164
"NBPF9";"NBPF9";-0,989626540385372;3,3930657043794;-4,40801082955878;0,000236703472878696;0,0355714452996196;0,100018769472266
"DNAJB11";"DNAJB11";0,375493008007347;7,96306987751281;4,4070149542436;0,000237271978792298;0,0355714452996196;0,629258959292605
"ARMC5";"ARMC5";0,539246207902487;5,19383112833405;4,40006539313954;0,000241277513646878;0,0355714452996196;0,623389189754357
"SLC25A20";"SLC25A20";0,697213169793717;6,26814566724136;4,39353417892105;0,000245103716739875;0,0355714452996196;0,596658114460898
"IPO5";"IPO5";-0,862148068435223;6,7496604377746;-4,39290236514455;0,000245477066604404;0,0355714452996196;0,591394406700269
"RASGEF1B";"RASGEF1B";1,83526999582643;5,84461451948064;4,36612893913354;0,000261833162223891;0,0369667256101443;0,546415110920367
"RAB3GAP1";"RAB3GAP1";-1,01840175845147;5,01560880618236;-4,35998857838746;0,000265735795584329;0,0369667256101443;0,534662719203766
"SEH1L";"SEH1L";-0,531719216122332;4,79426414344826;-4,35188168604328;0,000270977724295748;0,0369667256101443;0,519114421446027
"SIPA1L3";"SIPA1L3";-1,01175975674171;4,35539289474229;-4,33285383586231;0,000283691728385859;0,0369667256101443;0,461402038899439
"STX6";"STX6";-0,402100795335125;4,50726012198733;-4,32565651690636;0,000288655093965739;0,0369667256101443;0,460278671468088
"BHLHE40";"BHLHE40";1,11895684109705;10,606267901078;4,3229114795392;0,000290570935270347;0,0369667256101443;0,455520600325877
"IPO7";"IPO7";-0,867226741811893;5,92514484112323;-4,31915750198108;0,000293211575837942;0,0369667256101443;0,431186929314544
"ICAM3";"ICAM3";0,776089523414087;7,75977473022535;4,31222889076451;0,000298148596616417;0,0369667256101443;0,415879168359155
"STX12";"STX12";-0,933837167592303;5,33380485959399;-4,30996038153604;0,000299783054253363;0,0369667256101443;0,419828087463861
"RSPRY1";"RSPRY1";-0,445913938575441;4,69545317054054;-4,30642573227807;0,000302347659942394;0,0369667256101443;0,420021479180074
"KIF5B";"KIF5B";-0,557249506286454;6,6468457424698;-4,29420963156224;0,000311381503840313;0,0374855425776992;0,368853731935102
"STARD3";"STARD3";0,41985799481957;6,889806771064;4,26994411260941;0,000330135032984297;0,0380967912729728;0,314780703089025
"HIRIP3";"HIRIP3";0,751571778088495;6,52067074390285;4,26132368510375;0,000337065898376022;0,0380967912729728;0,298636671090511
"DYNC1H1";"DYNC1H1";-0,786054202675422;6,98066049587114;-4,25932964904402;0,000338689729696922;0,0380967912729728;0,293420383874727
"C11orf80";"C11orf80";0,598968442677092;4,95935839939881;4,25920467353985;0,000338791762920825;0,0380967912729728;0,316988717856671
"HMOX2";"HMOX2";0,446529767580826;6,54222769282672;4,24178540051963;0,000353318270772396;0,0380967912729728;0,252707853137304
"CTBP2";"CTBP2";0,342313131304613;5,75600677735377;4,23023047490206;0,000363296249107632;0,0380967912729728;0,238617614617233
"SWAP70";"SWAP70";-1,42363105408954;4,4606024672225;-4,22977080790929;0,000363698957476815;0,0380967912729728;0,247667042507399
"SH3BP1";"SH3BP1";0,955368856991793;7,89767356987926;4,22614145307628;0,000366894298677087;0,0380967912729728;0,22499319331531
"TYROBP";"TYROBP";0,74091460318362;9,6350668058754;4,21220466298225;0,000379427380629341;0,0380967912729728;0,211788941021742
"CCDC88A";"CCDC88A";-1,38987459730418;3,65423545121836;-4,20205838348311;0,000388820004797918;0,0380967912729728;-0,109406819123075
"NMD3";"NMD3";-0,507648711262725;5,07903864765165;-4,20118326334258;0,000389640922888394;0,0380967912729728;0,183587991804845
"FAM20B";"FAM20B";-0,373684983497499;5,26594828400003;-4,19010773210259;0,000400181322602139;0,0380967912729728;0,156608532232643
"EGLN1";"EGLN1";-0,494458702510188;4,27943916642797;-4,18859616589946;0,000401641772592303;0,0380967912729728;0,160523472288666
"TRA2B";"TRA2B";0,554431068866469;7,09677450344527;4,18074474743447;0,000409313751179638;0,0380967912729728;0,115866525269177
"CD247";"CD247";0,849524905791579;10,0627346485331;4,17873728612928;0,000411298715178405;0,0380967912729728;0,14064140739586
"CDC27";"CDC27";-0,660515809062782;5,38496156881236;-4,17809300595074;0,000411937810330542;0,0380967912729728;0,126575588082928
"CLTC";"CLTC";-0,704967332683963;6,89486647130389;-4,17247570245203;0,000417552085668574;0,0380967912729728;0,0972703774290675
"APOBEC3G";"APOBEC3G";0,747965894452147;9,30503808209711;4,17153366028559;0,000418501072396799;0,0380967912729728;0,119707821763181
"SNX25";"SNX25";-0,63832939661062;4,42633191655589;-4,17024866331409;0,000419799015070418;0,0380967912729728;0,124027922975643
"DNAJC9";"DNAJC9";0,631449279887788;7,91022784157447;4,16251840962357;0,000427692393616289;0,0380967912729728;0,0830991892955968
"CSTF3";"CSTF3";-0,490990289743253;4,4673464400437;-4,15758705934645;0,000432805032963599;0,0380967912729728;0,096410383649272
"PFKM";"PFKM";-1,56808105930626;4,4404893599954;-4,1549732483823;0,000435539624022975;0,0380967912729728;0,0806711106067599
"LAIR2";"LAIR2";0,933486970688659;5,26505017295327;4,14806929145835;0,000442845813934344;0,0380967912729728;0,0737221041528411
"ERO1A";"ERO1A";-0,402493050013089;6,03254920961339;-4,13560876586951;0,000456343246257281;0,0380967912729728;0,0182968433634612
"DUSP10";"DUSP10";1,46131881353021;6,54905347505572;4,13475556390528;0,00045728232210059;0,0380967912729728;0,0202851506667399
"EARS2";"EARS2";-0,696511911333861;3,90325022295186;-4,13032369872765;0,000462191354274802;0,0380967912729728;-0,075001779549277
"SMIM14";"SMIM14";-1,4433445977852;4,61735357766358;-4,12948062232204;0,000463131136868332;0,0380967912729728;0,0356079769191409
"NSF";"NSF";-0,538826576617966;5,12871091384926;-4,12867662465718;0,000464029133768584;0,0380967912729728;0,0223235358778826
"CD8A";"CD8A";0,758268841960953;6,68796825116785;4,12194509845066;0,000471616144388074;0,0380967912729728;-0,0144682799555635
"EHBP1";"EHBP1";-0,799331478389272;4,2169339312777;-4,11642294510377;0,00047793237408097;0,0380967912729728;-0,0123762340008868
"GRSF1";"GRSF1";-0,409535203236577;5,24863761782301;-4,115991542323;0,000478429350028835;0,0380967912729728;-0,00757990137677567
"AHCYL1";"AHCYL1";-0,467583966419948;5,99468454855648;-4,11597893816973;0,000478443877757688;0,0380967912729728;-0,0251246243528369
"FAM241A";"FAM241A";-1,12365677817742;3,35096065100237;-4,11404742073915;0,000480675379844659;0,0380967912729728;-0,390649093061798
"PSTPIP1";"PSTPIP1";0,811503011850054;7,24002485094677;4,10980924305767;0,000485608228440639;0,0380967912729728;-0,0417380849663758
"KLF11";"KLF11";0,641261153563672;5,67280288193505;4,10874062246821;0,000486859952370259;0,0380967912729728;-0,0283928140914016
"VPS35";"VPS35";-0,585244672264631;5,47791206684394;-4,09659773962508;0,000501311433884576;0,0388392274271961;-0,0557569588590683
"RHEBL1";"RHEBL1";0,827911783737497;5,72897597039934;4,09094624668649;0,000508182441425956;0,0389855647466481;-0,0683314708066742
"CD69";"CD69";1,1270236799065;9,98278396323667;4,08439153185823;0,000516269218924724;0,0392214236707375;-0,0668135977079203
