"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"ATP2B1";"ATP2B1";0,997818333659238;4,91371661026214;5,16571910171198;3,85974564239267e-05;0,302025096517227;2,02724406890064
"BCAT1";"BCAT1";1,60285641454774;3,0397431404492;4,50697817053439;0,000186515581167718;0,362420629931357;-0,565067893450878
"FLT3LG";"FLT3LG";-0,498307049377325;7,00297683716669;-4,3776540017308;0,000254662585059442;0,362420629931357;0,52281435058149
"SETD7";"SETD7";1,61418053794502;3,64842865305197;4,24094491020752;0,000354034724304515;0,362420629931357;-0,506667740327785
"CNST";"CNST";0,40321400053025;4,38438168416101;4,22214023862;0,00037044956001995;0,362420629931357;0,0468551854997408
"PRKCI";"PRKCI";0,745110540013557;3,92495674634136;4,19958308644914;0,000391146470393913;0,362420629931357;-0,29454444338884
"RCOR1";"RCOR1";0,486748947422394;4,2825542194005;4,09629687661026;0,000501674874126883;0,362420629931357;-0,295304220069451
"DNMBP";"DNMBP";0,951248871398822;4,00096971815695;4,05847658825926;0,000549516638653562;0,362420629931357;-0,569866455578349
"FKBP11";"FKBP11";-0,426271317701454;8,14830613574801;-3,97346567903362;0,000674282181508579;0,362420629931357;-0,326950075597885
"CFAP97";"CFAP97";0,39291195066387;4,34662369449327;3,95315609461717;0,00070803779332256;0,362420629931357;-0,483412998764631
"EGLN1";"EGLN1";0,470026927160483;4,27943916642797;3,95285211972532;0,000708555565123318;0,362420629931357;-0,498490557319522
"SNX25";"SNX25";0,603941647393002;4,42633191655589;3,93306959078826;0,000743073294378014;0,362420629931357;-0,495051794090634
"PFKM";"PFKM";1,34226408518283;4,4404893599954;3,92970876271722;0,000749101231588624;0,362420629931357;-0,502988048031124
"FEZ1";"FEZ1";-0,600977837953072;6,80017292510271;-3,9212282900241;0,000764528411704749;0,362420629931357;-0,424508349379609
"LRRK1";"LRRK1";1,61632911823176;2,55173656374477;3,89103193939808;0,000822064907503192;0,362420629931357;-1,94696009699077
"ATP6V1A";"ATP6V1A";0,496651039971537;5,21482075024542;3,86714752597434;0,000870600356724332;0,362420629931357;-0,556855703511844
