"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"ATP2B1";"ATP2B1";1,09850398358217;4,91371661026214;5,63338539047549;1,28590588332947e-05;0,100622135370531;3,27202833943572
"BCAT1";"BCAT1";2,05712736316528;3,0397431404492;5,05121432623569;5,06596570938268e-05;0,122976626825937;0,772237879241296
"EGLN1";"EGLN1";0,607626060771666;4,27943916642797;4,9122974506433;7,05478758119437e-05;0,122976626825937;1,64241748494762
"GART";"GART";0,535534596886914;6,14371214973252;4,89827281320274;7,29514182609456e-05;0,122976626825937;1,72125443349418
"FEZ1";"FEZ1";-0,731922336803118;6,80017292510271;-4,76902020845965;9,93933452051778e-05;0,122976626825937;1,43612731688938
"NOC3L";"NOC3L";0,542523948056297;4,66243780052146;4,72466371869889;0,000110545721848598;0,122976626825937;1,31463071075029
"CNST";"CNST";0,441826198262926;4,38438168416101;4,59935580531259;0,000149354790051078;0,122976626825937;1,02833956446434
"SNORA3B";"SNORA3B";-0,878817686030124;7,02340874878487;-4,59456016069523;0,000151086483499961;0,122976626825937;1,04976789131397
"TAMALIN";"TAMALIN";-1,18302465639027;3,24024375942987;-4,5738905185511;0,000158784407852601;0,122976626825937;-0,339865469309958
"LAIR2";"LAIR2";-1,02529246707178;5,26505017295327;-4,56257956138904;0,000163162688289712;0,122976626825937;0,972534997817879
"CFL2";"CFL2";1,4171554117906;4,14225936344689;4,46891987780043;0,000204409508410124;0,122976626825937;0,650231825322996
"CFAP97";"CFAP97";0,445301255043227;4,34662369449327;4,4374571031089;0,000220497315957506;0,122976626825937;0,678532793501435
"NBPF15";"NBPF15";0,93443229850639;4,38047133459534;4,37979161859859;0,000253354420566069;0,122976626825937;0,558367678264388
"WDR3";"WDR3";0,526900155532593;4,95980029839276;4,37888916925017;0,000253905871865876;0,122976626825937;0,578166034568936
"CAMK1";"CAMK1";-0,600460663166909;6,31644140668099;-4,36141848400715;0,000264821814328629;0,122976626825937;0,533596500064756
"DNAJB11";"DNAJB11";-0,369216442486935;7,96306987751281;-4,33936091181124;0,000279277977301431;0,122976626825937;0,486632610871249
"RGCC";"RGCC";-1,0189502750708;5,9079518163089;-4,3355186350793;0,000281875808865571;0,122976626825937;0,481578915434841
"FCGR3A";"FCGR3A";-0,779329705148539;9,14258598717933;-4,32576486941027;0,000288579731668617;0,122976626825937;0,462041612374053
"SGPP1";"SGPP1";0,527899724030185;4,80387514730872;4,28778844886254;0,000316237808057893;0,122976626825937;0,378741425827783
"CTSW";"CTSW";-0,880628487349142;11,1695130255586;-4,27640633073149;0,000325033034945121;0,122976626825937;0,3479366295036
"FAM241A";"FAM241A";1,19367644633624;3,35096065100237;4,24867391039437;0,000347500709680899;0,122976626825937;-0,288852599898881
"FSD1";"FSD1";-0,707761930339117;4,71491838119558;-4,23682470919707;0,000357567948029009;0,122976626825937;0,247366754788085
"RPRD1A";"RPRD1A";0,563446564120926;3,95190032680473;4,19758385525411;0,000393035642027065;0,122976626825937;0,0864576202459144
"TMEM69";"TMEM69";0,566615310962528;5,14690190126713;4,19063394273925;0,000399674152302682;0,122976626825937;0,165732445885496
"PRKCI";"PRKCI";0,724675752452894;3,92495674634136;4,17364848656322;0,000416373657851287;0,122976626825937;0,0471814808020641
"AMIGO3";"AMIGO3";-0,895969192445143;4,18597957776555;-4,15559120935378;0,000434891555494635;0,122976626825937;-0,193301300721048
"SETD7";"SETD7";1,4527464545194;3,64842865305197;4,14119207549744;0,000450245296257898;0,122976626825937;-0,0825956565993522
"SNX25";"SNX25";0,640725961073678;4,42633191655589;4,14047595003879;0,000451022862242746;0,122976626825937;0,0563340568801696
"CEP20";"CEP20";0,406146794774327;5,69848349806813;4,13575768305792;0,000456179538033871;0,122976626825937;0,0393521355356956
"RNASEH2C";"RNASEH2C";-0,444539335580534;6,1137167193856;-4,09849542327129;0,000499025087474615;0,122976626825937;-0,0479178013090733
"GSPT1";"GSPT1";0,61832969543547;5,63297012679853;4,07660720391443;0,000526039754165691;0,122976626825937;-0,0933152610984225
"SWAP70";"SWAP70";1,3224787413851;4,4606024672225;4,07467738911517;0,000528490336220348;0,122976626825937;-0,0849899762067512
"ASRGL1";"ASRGL1";-1,0218615807162;3,77032909977663;-4,06686506243319;0,000538527614765771;0,122976626825937;-0,633111974647473
"RAMP1";"RAMP1";-0,945772941981327;6,09601626254877;-4,06221777845611;0,000544588298317966;0,122976626825937;-0,124083509469926
"DGCR8";"DGCR8";-0,297160717008864;6,25507335016532;-4,05806978423407;0,000550055199860423;0,122976626825937;-0,140137864837352
"DIMT1";"DIMT1";0,601878247771037;5,21089607378285;4,04109857935798;0,00057299772618332;0,12343862484871;-0,161965886283438
"GNLY";"GNLY";-0,655384473096456;12,6744110736495;-4,03343227570654;0,000583671452958756;0,12343862484871;-0,184032031031937
"CDK2AP2";"CDK2AP2";-0,628455338367806;7,57648703754185;-4,01429944026734;0,000611181108702675;0,125624003954862;-0,237854160778686
"LARP4";"LARP4";0,59853263774883;4,10155285460947;3,99979385318687;0,000632894070798502;0,125624003954862;-0,270577946700546
"SLC30A9";"SLC30A9";0,571191686478402;5,03527038841524;3,99374895680097;0,000642167432357125;0,125624003954862;-0,263590684374838
"RELT";"RELT";-0,64491283857865;6,04341859513555;-3,95606180219649;0,000703107326853975;0,130397996622164;-0,36004079303606
"COA7";"COA7";0,68971677719196;3,91180772057267;3,94375019884644;0,00072423469762807;0,130397996622164;-0,409269934988731
"RAB15";"RAB15";-0,732969281179735;3,88083672306499;-3,94053225472109;0,000729860058997668;0,130397996622164;-0,752591360798275
"SMIM14";"SMIM14";1,30206088176108;4,61735357766358;3,93044179000445;0,000747782356330361;0,130397996622164;-0,392784588186826
