"";"x"
"1";"HVCN1"
"2";"LOC105369979"
"3";"LOC105371400"
"4";"LOC105376629"
"5";"METRNL"
"6";"LOC729164"
"7";"LOC101928215"
"8";"S100Z"
"9";"LOC105370931"
"10";"RNA5SP25"
"11";"IGHA1"
"12";"TM6SF1"
"13";"DPP4"
"14";"SLC29A4"
"15";"MIR766"
"16";"ACRC"
"17";"CXCR3"
"18";"LOC105375971"
"19";"TRPM2-AS"
"20";"KLHDC4"
"21";"LOC105374932"
"22";"SERPINF2"
"23";"LOC105374463"
"24";"LOC105377296"
"25";"LOC728099"
"26";"LOC105374759"
"27";"LOC339803"
"28";"C2orf74"
"29";"LOC105374758"
"30";"LOC105373818"
"31";"LOC105372111"
"32";"LOC100996286"
"33";"TRAJ34"
"34";"TRAJ33"
"35";"TRAJ32"
"36";"TRAJ31"
"37";"TRAJ30"
"38";"TRAJ29"
"39";"SLC9C2"
"40";"DPH3P1"
"41";"TRAJ39"
"42";"TRAJ38"
"43";"TRAJ43"
"44";"TRAJ42"
"45";"TRAJ41"
"46";"TRAJ40"
"47";"LOC102724659"
"48";"LOC102723919"
"49";"IL1B"
"50";"IGHM"
"51";"MIR4539"
"52";"MIR4507"
"53";"MIR4538"
"54";"MIR4537"
"55";"IGHJ6"
"56";"IGHJ5"
"57";"IGHJ4"
"58";"IGHJ3"
"59";"IGHJ2"
"60";"IGHJ1"
"61";"IGHD7-27"
"62";"LOC101927942"
"63";"LOC105375557"
"64";"LOC105376310"
"65";"IGHE"
"66";"LOC101927460"
"67";"LOC100130357"
"68";"IL37"
"69";"LOC105373875"
"70";"LINC00266-3"
"71";"WDR86-AS1"
"72";"VGLL1"
"73";"MIR934"
"74";"IL20RB"
"75";"COL10A1"
"76";"TRAJ52"
"77";"ZNF890P"
"78";"LOC105374108"
"79";"TRAJ37"
"80";"TRAJ36"
"81";"TRAJ35"
"82";"ZNRF3-AS1"
"83";"TRAJ50"
"84";"TRAJ49"
"85";"TRAJ48"
"86";"TRAJ47"
"87";"TRAJ46"
"88";"TRAJ45"
"89";"TRAJ44"
"90";"ENAM"
"91";"LOC100996643"
"92";"LINC00243"
"93";"LOC105374415"
"94";"TRS-AGA2-4"
"95";"TRS-AGA2-5"
"96";"TRD-GTC2-11"
"97";"TRS-TGA4-1"
"98";"LOC283177"
"99";"LOC105376028"
"100";"MIR1273E"
"101";"DEFA5"
"102";"LOC105377799"
"103";"MIR103A2"
"104";"MIR103B2"
"105";"CAPSL"
"106";"LOC105371155"
"107";"IL12B"
"108";"CASP12"
"109";"C1orf220"
"110";"LOC105371624"
"111";"COL1A2"
"112";"LOC100996761"
"113";"LOC105369673"
"114";"LOC105369737"
"115";"LOC105373584"
"116";"MIR4632"
"117";"SGCB"
"118";"LOC105371512"
"119";"LOC105370259"
"120";"NPIPB11"
"121";"PRR4"
"122";"LOC105370449"
"123";"LOC102723319"
"124";"RNU1-28P"
"125";"LOC105370448"
"126";"SLC4A10"
"127";"LOC105376773"
"128";"JPH2"
"129";"OR6K3"
"130";"MYH3"
"131";"LOC105371631"
"132";"LOC105373472"
"133";"LOC105375724"
"134";"LINC00920"
"135";"LOC105370176"
"136";"LOC105372243"
"137";"LOC105374399"
