"";"x"
"1";"LOC105376629"
"2";"NCAM2"
"3";"METRNL"
"4";"LOC105369979"
"5";"LOC729164"
"6";"S100Z"
"7";"IGHA1"
"8";"SHD"
"9";"LOC105373818"
"10";"DPP4"
"11";"RNA5SP25"
"12";"SERPINF2"
"13";"LOC105373872"
"14";"LINC00266-3"
"15";"MIR1287"
"16";"LOC105377296"
"17";"TRPM2-AS"
"18";"LOC100996286"
"19";"LOC105373875"
"20";"LOC105372111"
"21";"SLC9C2"
"22";"LOC100506474"
"23";"LOC105376245"
"24";"LOC105371576"
"25";"LOC105374932"
"26";"LOC105370176"
"27";"IGHM"
"28";"MIR4539"
"29";"MIR4507"
"30";"MIR4538"
"31";"MIR4537"
"32";"IGHJ6"
"33";"IGHJ5"
"34";"IGHJ4"
"35";"IGHJ3"
"36";"IGHJ2"
"37";"IGHJ1"
"38";"IGHD7-27"
"39";"LOC105375557"
"40";"MYH3"
"41";"TRAJ34"
"42";"TRAJ33"
"43";"TRAJ32"
"44";"TRAJ31"
"45";"TRAJ30"
"46";"TRAJ29"
"47";"TRAJ43"
"48";"TRAJ42"
"49";"TRAJ41"
"50";"TRAJ40"
"51";"VGLL1"
"52";"MIR934"
"53";"CD80"
"54";"LOC102724264"
"55";"IGHE"
"56";"TRAJ39"
"57";"TRAJ38"
"58";"LOC101927200"
"59";"TRAJ52"
"60";"ENAM"
"61";"PRR4"
"62";"LOC101928327"
"63";"ZNF890P"
"64";"WDR86-AS1"
"65";"LOC101927460"
"66";"LOC100130357"
"67";"LOC101927942"
"68";"LOC105372243"
"69";"LOC105370449"
"70";"LOC102723319"
"71";"RNU1-28P"
"72";"LOC105370448"
"73";"LOC105375046"
"74";"LOC102724511"
"75";"TRAJ50"
"76";"TRAJ49"
"77";"TRAJ48"
"78";"TRAJ47"
"79";"TRAJ46"
"80";"TRAJ45"
"81";"TRAJ44"
"82";"DPH3P1"
"83";"LOC101926915"
"84";"LOC100996643"
"85";"LOC105369498"
"86";"LOC105376513"
"87";"CASP12"
"88";"LOC105373484"
"89";"LOC105372213"
"90";"LOC102724339"
"91";"ABLIM3"
"92";"LOC105374399"
"93";"MIR103A2"
"94";"MIR103B2"
"95";"LOC105376442"
"96";"LOC101928449"
"97";"HIPK4"
"98";"INSL3"
"99";"LOC105370259"
"100";"SLC4A10"
"101";"CTB-3M24.3"
"102";"TAS2R50"
"103";"LOC105369342"
"104";"IL13"
"105";"HS3ST2"
"106";"TRNAE-UUC"
"107";"LOC102724970"
"108";"FAM231B"
"109";"FANK1-AS1"
"110";"KCNIP4"
"111";"CXorf36"
"112";"TRA-AGC7-1"
"113";"TRT-AGT3-1"
"114";"TRA-CGC4-1"
"115";"TRV-AAC6-1"
"116";"LOC101930496"
"117";"LOC102723566"
"118";"LOC105375724"
"119";"LOC105369988"
"120";"OR6K3"
"121";"GKN2"
"122";"LOC102723409"
"123";"LOC105379041"
"124";"RNA5SP186"
"125";"LOC105378188"
"126";"PON1"
"127";"COL1A2"
"128";"LOC105369593"
"129";"JPH2"
"130";"LOC105373033"
"131";"LOC643438"
"132";"GPC6"
"133";"LOC105371512"
"134";"LOC284788"
"135";"SORCS1"
"136";"LOC105378017"
"137";"MROH2A"
"138";"LOC105375445"
"139";"LOC105370037"
"140";"APOBEC3A"
"141";"LOC105372880"
"142";"LOC105369382"
"143";"LINC01204"
"144";"LOC283177"
"145";"FPR2"
"146";"DDX11L5"
"147";"WASH1"
"148";"PRSS46"
"149";"FAM230C"
"150";"LOC105372030"
"151";"LOC105375820"
"152";"LOC102724927"
"153";"LOC105370949"
"154";"LOC105376515"
"155";"LOC105376514"
"156";"SNORA36C"
"157";"LOC105371477"
"158";"LOC101929996"
"159";"LOC105377580"
"160";"LOC105377579"
"161";"MIR8077"
"162";"NDP"
"163";"OR5AU1"
"164";"OR2A1-AS1"
"165";"LINC00841"
"166";"TDRG1"
"167";"LOC105376161"
"168";"LOC105375743"
"169";"DHRS9"
"170";"LOC105379285"
"171";"OR2T2"
"172";"LOC105373279"
"173";"OR2T3"
"174";"OR14I1"
"175";"OR2T5"
"176";"LOC101928605"
"177";"ARHGEF34P"
"178";"MEP1A"
"179";"ADGRF5"
"180";"LOC105370883"
"181";"ZNF112"
"182";"LOC105371967"
"183";"LOC101930164"
"184";"LOC105374929"
"185";"LOC101927538"
"186";"LOC105372442"
"187";"KLK7"
"188";"LOC105376996"
"189";"TGFBI"
"190";"HRH2"
"191";"LOC101928087"
"192";"PAK3"
"193";"LOC105372358"
"194";"LOC105377669"
"195";"SPTLC3"
"196";"EPHB1"
"197";"LOC101929615"
"198";"LOC105373791"
"199";"MIR1245A"
"200";"MIR1245B"
"201";"PRKACG"
"202";"LOC105375402"
"203";"GNG11"
"204";"DNM3OS"
"205";"LOC100131257"
"206";"LOC105375138"
"207";"TRY-ATA1-1"
"208";"NPIPB5"
"209";"LOC105371131"
"210";"TRV-CAC5-1"
"211";"LOC102724428"
"212";"LOC105370258"
"213";"LRP5L"
"214";"LOC105378185"
"215";"LOC105373886"
"216";"GTSF1L"
"217";"CYP3A4"
"218";"LOC105370996"
"219";"C9orf84"
"220";"ADCY2"
"221";"LOC105374831"
"222";"KANK4"
"223";"LOC105378296"
"224";"LOC102724593"
"225";"LOC102724488"
"226";"LOC105370973"
"227";"SLC34A2"
"228";"LOC105374417"
"229";"LOC102723505"
"230";"LINC01152"
"231";"LOC102723517"
"232";"LOC101928250"
"233";"ARHGEF5"
"234";"LOC105369407"
"235";"RNA5SP323"
"236";"LOC105378301"
"237";"LOC105373653"
"238";"PLAC1"
