"";"x"
"1";"ATP2B1"
"2";"BCAT1"
"3";"TAMALIN"
"4";"LAIR2"
"5";"CFL2"
"6";"RGCC"
"7";"FAM241A"
"8";"SETD7"
"9";"SWAP70"
"10";"ASRGL1"
"11";"SMIM14"
"12";"LRRK1"
"13";"PFKM"
"14";"CCDC88A"
"15";"TRIO"
"16";"AK4"
"17";"HERC4"
"18";"RGS1"
"19";"HOPX"
"20";"XCL2"
"21";"GNPNAT1"
"22";"EBPL"
"23";"ITSN1"
"24";"DYRK3"
"25";"KNSTRN"
"26";"CEP170"
"27";"XCL1"
"28";"ZNF532"
"29";"OSBPL10"
"30";"BCL7A"
"31";"ABL2"
"32";"CLIC4"
"33";"ASB13"
"34";"SPIRE1"
"35";"RASGEF1B"
"36";"MAPK12"
"37";"KDSR"
"38";"TENT5C"
"39";"RBFOX2"
"40";"AIM2"
"41";"MME"
"42";"DOCK7"
"43";"APBB2"
"44";"SORD"
"45";"HES1"
"46";"SLC2A5"
"47";"SNAPC1"
"48";"CD52"
"49";"SEMA7A"
"50";"CXCR4"
"51";"NR4A2"
"52";"CCL3L3"
"53";"CCL3L1"
"54";"LHFPL2"
"55";"MIR6736"
"56";"MIR614"
"57";"PALLD"
"58";"PKIG"
"59";"PDLIM5"
"60";"CAMSAP2"
"61";"EGR2"
"62";"SDC1"
"63";"GBE1"
"64";"ACKR3"
"65";"FMNL2"
"66";"NOL3"
"67";"GPRC5A"
"68";"MYH10"
"69";"DPCD"
"70";"PFKFB4"
"71";"NME4"
"72";"WASF3"
"73";"IFNGR2"
"74";"SNORA12"
"75";"MAB21L2"
"76";"MPZL1"
"77";"RALGPS2"
"78";"BACE2"
"79";"YBX3"
"80";"SCARB1"
"81";"BICC1"
"82";"NR2F6"
"83";"A4GALT"
"84";"UACA"
"85";"MUC1"
"86";"NRGN"
"87";"CCNB1"
"88";"SNORD5"
"89";"CORO1C"
"90";"NFATC4"
"91";"PLXNA1"
"92";"SPSB1"
"93";"TNKS1BP1"
"94";"UAP1"
"95";"ASAP3"
"96";"FCRLA"
"97";"LRFN4"
"98";"SPRED1"
"99";"MACIR"
"100";"ZG16B"
"101";"CIITA"
"102";"PPFIBP1"
"103";"SLPI"
"104";"MIR544B"
