"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"1";"A1BG";-0,679912260765798;0,160869914402384;-1,83034626038669;0,0811920916201768;0,999718359855294;-4,5421754842363;0,289350618553757;5,8521328940292;3,26298852446324;0,00410254811971435;0,0249604553144088;-2,52080657495842
"2";"A1BG-AS1";0,0182940574874224;2,29842667689459;0,0943190681579416;0,925735116679062;0,999718359855294;-4,66518697079961;0,289350618553757;5,8521328940292;3,26298852446324;0,00410254811971435;0,0249604553144088;-2,52080657495842
"3";"A2M";-4,16938564756267;-0,557402884858004;-2,02134886970223;0,0559547077449166;0,999718359855294;-4,56442093745971;0,0560146167383211;3,90766582740513;0,391793035025673;0,699581620465975;0,782698579659433;-6,49831097942821
"4";"A4GALT";-0,204933506107241;3,23123323317958;-0,198641678353301;0,84442207854776;0,999718359855294;-4,68395450055823;-0,910849165377113;1,82751473792393;-2,0072436463603;0,059199813264836;0,130897932333839;-3,97777694155886
"5";"AAAS";-0,0515174342881464;5,81358669852824;-0,590942917594701;0,560762032914948;0,999718359855294;-4,72250534554172;0,0984740726844366;6,55344354706848;1,54962367959506;0,137769296870851;0,233738569982957;-5,71852345460064
"6";"AACS";-0,161387858572206;4,75946849913692;-1,70735576887122;0,102255979872063;0,999718359855294;-4,3841952010947;-0,406951602381734;3,78135672587604;-3,04215258640733;0,00671845097175386;0,0342712253375702;-2,6030057126716
"7";"AADAT";-0,401961455173557;-0,0693773361126263;-0,351976423034642;0,728305608921918;0,999718359855294;-4,61297310709394;-0,718694202829649;2,44520440807839;-1,50025534426502;0,150023448449904;0,248838751947087;-4,87687189064359
"8";"AAED1";0,298410741090373;3,1600944845118;1,44903836680698;0,161853685844655;0,999718359855294;-4,51449142212537;0,33681682171384;4,55145220947413;3,61258102267769;0,00186058476874876;0,0153743631213665;-1,58884261015248
"9";"AAGAB";0,0714369019525831;6,06551912081695;0,744986251699574;0,464400974943894;0,999718359855294;-4,69165091124556;0,220560678816701;6,07807819898122;2,18691640043629;0,0414921865924388;0,105219527683686;-4,69383286848738
"10";"AAK1";-0,146379606822142;6,83575251574236;-0,697700181342034;0,492892178305669;0,999718359855294;-4,70062261284831;-0,021505338923351;3,70865902550406;-0,231545113906365;0,81937285043093;0,873710808792862;-6,40258968807096
"11";"AAMDC";0,271353870032912;2,42688888893117;0,598654045580631;0,555701308262718;0,999718359855294;-4,64013779943053;0,462581538995535;6,61500636747567;5,61986297288202;2,04884123044332e-05;0,00101164675396005;2,72370067816084
"12";"AAMP";0,118717961323455;6,52767098330392;0,856082996297976;0,401456245391151;0,999718359855294;-4,66429667616696;0,172292451878103;5,72713786662372;1,78431787181094;0,0903904529230013;0,173166512043868;-5,3817520318734
"13";"AAR2";-0,0940569717474284;5,60840246137075;-0,928375209750363;0,363588573433382;0,999718359855294;-4,64314121142942;0,214785784099578;4,59105456188973;1,68796099736083;0,107806381098944;0,196007809937682;-5,37991069359045
"14";"AARS";0,0897343452526744;7,96595710705505;0,523187130837194;0,606230967816129;0,999718359855294;-4,72447476036137;0,128415483901875;6,14477957030473;1,66889906355593;0,11157321511909;0,201015734364344;-5,55933694649433
"15";"AARS2";-0,0198985636253672;5,56288327812813;-0,174369911796307;0,863217308428062;0,999718359855294;-4,76940450632387;-0,0682481223578546;3,99806442783439;-0,512688799648738;0,614092647951689;0,713158459252158;-6,42200390721788
"16";"AASDH";-0,112999656143224;2,98302203466969;-0,530449206835572;0,601273778885916;0,999718359855294;-4,66009134528958;0,21476746598445;6,2534596685606;1,5862027134878;0,129237036252592;0,223471879797951;-5,67809247087053
"17";"AASDHPPT";0,201393589666671;4,43438606290421;1,27345010511172;0,216546235814406;0,999718359855294;-4,53961176863411;0,354588489922662;7,43045638882632;2,94617109011468;0,00830704922001312;0,0389439550563768;-3,1373278197442
"18";"AASS";0,111192849141406;3,00526557227172;0,377122523908297;0,709804307449682;0,999718359855294;-4,67228048717527;-0,37776127618273;4,62928975043255;-4,2284440286325;0,000457022279577191;0,00636078147864895;-0,276069749878787
"19";"AATF";0,0140772767749278;6,45736664629954;0,144231448587802;0,886670226315849;0,999718359855294;-4,7761981961254;-0,117458222425457;4,96928797187142;-1,37004637938231;0,186685148831018;0,292557450177407;-5,92179752044127
"20";"AATK";-0,246567748221429;3,28484565069478;-1,32070453277241;0,200579725826281;0,999718359855294;-4,53941805973526;0,00532956750421976;3,99667286686414;0,0433111429158266;0,965906564600293;0,977630978792025;-6,5305717726558
"21";"ABAT";-0,105721605622353;4,05497003930423;-0,336924822641953;0,7394624443961;0,999718359855294;-4,71316708498873;0,337701801006971;6,57660549558414;2,44020494040093;0,0246758152388626;0,0767129710932289;-4,20339835634045
"22";"ABCA1";-2,45370840024176;1,80388298970376;-2,0928331039321;0,0484776682927734;0,999718359855294;-4,49721618917831;-0,283064631193372;3,16365925625124;-1,54196426984607;0,139614115477725;0,235705411483771;-5,09245468760897
"23";"ABCA10";0,258596415869987;0,68573794918205;0,798429645942565;0,433411597353695;0,999718359855294;-4,60696078433338;-0,748347085857619;2,06606316764359;-2,2759459509294;0,034645282135758;0,0941120613291802;-3,60458250731711
"24";"ABCA13";0,102887191410921;-1,51991190370486;0,0856618124036273;0,932533347340956;0,999718359855294;-4,60653091200601;-1,30166594448362;0,969292074384652;-2,42642696629688;0,0253961026889749;0,0780597802148195;-3,30715357023988
"25";"ABCA2";-0,379651798083224;7,90769880285901;-1,83796397013281;0,0800211406629274;0,999718359855294;-4,31635600675276;0,147787266350394;4,84202690064607;2,04193200628679;0,0553258708027786;0,125541852239717;-4,84769798411534
"26";"ABCA3";-0,387542532324118;3,98549017930753;-1,78796399913594;0,0879822821436083;0,999718359855294;-4,38654430501579;-0,175014956343531;5,83560839757333;-2,09902039308717;0,0494450181141689;0,116725516261482;-4,85529507278325
"27";"ABCA5";0,116081641458201;5,02258280131375;0,340977420629841;0,736452593450707;0,999718359855294;-4,74604093556616;0,0767626119693912;5,27592141449363;0,924292634819868;0,366953242021341;0,488151349700373;-6,45214895571793
"28";"ABCA6";-0,746075538512291;1,25103603990088;-0,804936591783668;0,429727807218898;0,999718359855294;-4,60840519930162;0,173724388840605;2,50221181714756;0,757093241434171;0,45830360681249;0,575333358140226;-5,65651000886142
"29";"ABCA7";-0,435041615889948;6,94942333385283;-1,76100821044061;0,0925516912298487;0,999718359855294;-4,33752183792943;0,435505507299395;5,38395170029842;4,6070565019711;0,000193505841405586;0,00382577196417092;0,498515138608586
"30";"ABCA8";-3,26590106126363;0,533700963507974;-1,92773765713048;0,0672928955935346;0,999718359855294;-4,55012007289337;-1,39158558962443;0,87460679692118;-1,79921116452832;0,0879288284498215;0,16968277818715;-4,15626988451786
"31";"ABCA9";-1,79643916255894;2,0257473357466;-1,42477113815882;0,16867513464653;0,999718359855294;-4,55459887935142;-0,699911125301987;1,98430573558165;-2,31046864972846;0,0322826560416161;0,0902864005988814;-3,53670042749267
"32";"ABCB1";-0,224098394219988;5,63119624909037;-0,71270228038859;0,483745618518071;0,999718359855294;-4,69588891255042;0,36336149655578;5,00750644476887;2,91609486463629;0,0088755742984739;0,0407307510688801;-3,1777287935987
"33";"ABCB10";-0,144414348734331;5,26348837874315;-0,944739996679549;0,355359215110546;0,999718359855294;-4,63551214789777;-0,160709852095022;5,73747301815205;-2,16475287123746;0,0433792517557076;0,108002547737075;-4,73740248531932
"34";"ABCB6";0,128600895251682;4,44898616702889;0,471946256999977;0,641751967838368;0,999718359855294;-4,71320111525132;0,233629764494347;5,79301716980181;3,39650604075336;0,00303662156514464;0,0206399489893172;-2,2301031078361
"35";"ABCB7";-0,134799166503552;4,16864464273152;-1,00059394265967;0,328227216918527;0,999718359855294;-4,61088516187412;-0,348126655455307;3,67798207986708;-2,31429612094064;0,0320300980106436;0,08982956165444;-4,02049810142246
"36";"ABCB8";-0,119455202460315;5,86219445576972;-1,51225375030083;0,145128366707604;0,999718359855294;-4,44178916391627;0,303866513100333;6,35938653558028;3,94650750210915;0,000869291468204655;0,00950321971871347;-1,00177227849542
"37";"ABCB9";-0,17669941715362;1,92764341947216;-0,778660666244856;0,44472289763157;0,999718359855294;-4,61887338178182;0,194520215058898;5,75266230318864;2,48826773691994;0,0223100905008312;0,0717802911765874;-4,1263252103026
"38";"ABCC1";0,0177305379048507;6,90004609557102;0,0979862422156479;0,922857137230558;0,999718359855294;-4,77461075917856;-0,428080203902246;3,33190410894586;-2,6270318307629;0,0166204694490563;0,0601088977453866;-3,32125049610494
"39";"ABCC10";-0,0351405302274435;5,44514137188573;-0,250433976402691;0,804645462018766;0,999718359855294;-4,76323527270608;-0,107291224544031;5,86361448399309;-1,1307377047782;0,272271955703122;0,389785494013092;-6,27351913569233
"40";"ABCC2";-0,22813162861536;1,53327699045266;-0,717561986061886;0,480804008933475;0,999718359855294;-4,6191515083459;-1,26716023083268;2,07647975149727;-3,54525177868149;0,0021680869701695;0,0169046028863271;-1,33182617596719
"41";"ABCC3";-0,253694234778817;1,82090570355486;-0,264065431449176;0,794261176371083;0,999718359855294;-4,6446736972654;-0,808343055464993;2,33979227598649;-2,18318867420658;0,0418042341353279;0,105672108515049;-3,81590613022418
"42";"ABCC4";-0,118045496062365;3,72097592519044;-0,480904006744682;0,635475269003837;0,999718359855294;-4,68572522294599;-0,501430758245927;3,39835445654126;-3,78966317409059;0,00124318873740442;0,0118782733121181;-0,939928579616147
"43";"ABCC5";-0,232943247485278;5,14628271949921;-1,24915865896159;0,225126895970416;0,999718359855294;-4,54359510829015;-0,0789210055374232;6,43303507229585;-0,768868443838872;0,45144707318163;0,569158824007641;-6,59682417946733
