"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"1";"A1BG";-1,29892131362578;0,160869914402384;-3,14445987848749;0,00482595524622061;0,999809857860324;-4,46417189155181;0,307164376355692;5,8521328940292;3,60137501896512;0,00190858920887956;0,0193216388348834;-1,70804089729434
"2";"A1BG-AS1";-0,265277499061728;2,29842667689459;-1,32008235700507;0,200783809044683;0,999809857860324;-4,55627522446172;0,307164376355692;5,8521328940292;3,60137501896512;0,00190858920887956;0,0193216388348834;-1,70804089729434
"3";"A2M";-3,00724909390779;-0,557402884858004;-1,74554302992251;0,0952643276585428;0,999809857860324;-4,56512784164882;-0,411696473328802;3,90766582740513;-2,50400664499006;0,0215828282614058;0,0920862984264641;-3,57425843016367
"4";"A4GALT";-0,870079642429185;3,23123323317958;-0,777097754757516;0,445624794096444;0,999809857860324;-4,62930317887758;-0,599164491472528;1,82751473792393;-1,34992280974952;0,192943907679847;0,345673287991715;-4,78008228541908
"5";"AAAS";-0,0173444665695319;5,81358669852824;-0,199016187358678;0,844132783049287;0,999809857860324;-4,77140616419631;0,0468527511363117;6,55344354706848;0,777837668875332;0,446266728099932;0,598006501066946;-6,51798307754505
"6";"AACS";0,0694640624967899;4,75946849913692;0,744317252911836;0,464797110241062;0,999809857860324;-4,67781695919383;-0,0705247799532454;3,78135672587604;-0,540106536979295;0,595413824050189;0,722890418510849;-6,20839439090063
"7";"AADAT";-1,24096627450122;-0,0693773361126263;-0,970154218620043;0,342830646299465;0,999809857860324;-4,59628036760785;-0,5825384258169;2,44520440807839;-1,20057573018386;0,244706946132312;0,402172406834999;-5,12584212361549
"8";"AAED1";0,000929734363535939;3,1600944845118;0,00437315278936713;0,996551336860675;0,999809857860324;-4,6863213360321;0,320333250430849;4,55145220947413;3,36902027483006;0,00323107522876986;0,0273318136813494;-2,00845167170307
"9";"AAGAB";0,204939444230423;6,06551912081695;2,1385387148536;0,044180498010807;0,999809857860324;-4,15451656540444;0,231654342605642;6,07807819898122;2,40298314284211;0,0266670143866205;0,10518324057308;-4,21887619871468
"10";"AAK1";0,000193218495822656;6,83575251574236;0,000919082293169967;0,999275210474472;0,999809857860324;-4,77614625929249;0,0517292031757965;3,70865902550406;0,536126849337359;0,598107631196575;0,725042847792426;-6,1294044954779
"11";"AAMDC";-0,0875353637550247;2,42688888893117;-0,185237191392471;0,854791087315034;0,999809857860324;-4,6565574969109;0,391214568155585;6,61500636747567;5,02940213182625;7,49898261925132e-05;0,00276725106956608;1,47766413165523
