"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"GO:0022626";"cytosolic ribosome";1,21102702702703;10;0,1825;4,77471589477507e-23;3,87795018073314e-15;"RPL8, RPL11, RPL12, RPL17, RPL18, RPL22, RPL24, RPL36A, RPLP1, RPS12, RPS17, RPS19, RPL36, EIF2AK4";"RPL30, RPL31, RPS14, RPS27, RPL23"
"GO:0005741";"mitochondrial outer membrane";1,94558440407621;10;0,345;3,9974543838794e-21;6,05464068032854e-20;"BID, CASP8, CPT1B, ATF2, CYB5A, ACSL1, ACSL3, HADHB, HMOX1, KRAS, RAC2, RAF1, TUFM, VDAC1, ULK1, MFN2, BCL2L11, ABCB6, TOMM40, PGRMC1, PHB2, VPS13A, FIS1, GDAP1, MSTO1, RMDN3, TOMM22, ZNFX1, PINK1, MYO19, QTRT1, HINT2, USP30, BMF, FAM210B, PGAM5, PLD6";"BNIP3, OPA1, KMO, SLC44A1, RAB11FIP5, RHOT1, MFF, MUL1, COASY, RTN4IP1, SLC25A46, LRRK2"
"GO:0090575";"RNA polymerase II transcription regulator complex";1,66516216216216;10;0,1325;1,95972824649397e-20;3,15459698607775e-11;"ATF3, CEBPB, CEBPG, CHD4, CREB1, ATF2, DBP, DDIT3, E2F1, E2F3, E2F6, FOSL2, HIF1A, JUNB, NEUROD1, NFE2L2, NFYB, POU2F1, RARA, STAT3, STAT6, TFDP2, NR1H3, CREB3, BATF, ADNP, HIPK2, BACH2";"GTF2B, RFXAP, THRB, HAND1, ATF6"
"GO:0000502";"proteasome complex";1,46449780012571;10;0,24;6,89310546726507e-20;3,88713700252666e-19;"PSMA5, PSMB6, PSMC4, PSMC6, PSMD12, PSME1, PSME2, VCP, ADRM1";"HSPB1, PSMC1, PSMD7, PSME3"
"GO:0046540";"U4/U6 x U5 tri-snRNP complex";1,96791891891892;10;0,1328391959799;1,64486736221481e-19;1,21903235910714e-06;"SNRPD2, CD2BP2, PPIH, PRPF8, USP39, SNRNP27, SNRNP200, LSM5, LSM4, PRPF31, LSM2, RBM42";"LSM7"
"GO:1990904";"ribonucleoprotein complex";1,4063539668701;10;0,3975;7,26114697162791e-19;1,4573745691161e-12;"BRCA1, DHX9, HNRNPL, NCBP1, NCL, YBX1, NUP98, RPL22, XPO1, ZFP36, SLBP, PABPN1, RBM14, SYNCRIP, AGO1, AKAP8L, AGO2, SRRT, APOBEC3G, RNF135, ZC3H18, MRPL10, JAKMIP1, APOBEC3F";"IGF2BP1, BOP1, ZC3H14"
"GO:0000785";"chromatin";1,33265856249262;10;0,3775;1,24519785149699e-17;2,79351635136427e-16;"RUNX3, ATF2, DFFB, E2F1, EGR1, FANCA, FANCB, FANCG, FER, GATA3, HDAC1, HIF1A, HNRNPL, HSF4, MXD1, PCNA, PPP4C, RARA, RELB, DPF2, RPA2, SP1, STAT3, TAF5, HIRA, NR0B2, BANF1, LDB1, IST1, ZEB2, TOX4, USP3, CHAF1A, NR1H3, KLF2, PRMT5, STAG2, PARK7, KDM1A, CAMTA2, CBX7, L3MBTL1, AKAP8L, UHRF1, TIPIN, ASF1B, NUCKS1, PINK1, KLHDC3";"AR, RUNX2, LOXL2, SMAD4, SNAI2, TCF4, TP63, MAGED1, SETD1A, RAD51AP1, HIF3A, DBF4B, FANK1, CDCA5"
"GO:0071013";"catalytic step 2 spliceosome";0,993663201663202;10;0,2475;1,89584612092669e-17;1,71728343568204e-07;"HNRNPC, HNRNPF, SNRPD2, AQR, SYNCRIP, PRPF8, SF3B2, RALY, SNRNP200, LSM2";"CDC5L, ALYREF, CWC15, PPIL1, GPATCH1, CWC22"
"GO:0022625";"cytosolic large ribosomal subunit";1,28517153888582;10;0,175;3,22478923380077e-17;2,29426986776271e-11;"RPL8, RPL11, RPL12, RPL17, RPL18, RPL22, RPL24, RPL36A, RPLP1, RPL36";"RPL30, RPL31, RPL23"
"GO:0042645";"mitochondrial nucleoid";1,6147027027027;10;0,2525;1,96212992982585e-15;8,03348809685364e-08;"SLC25A5, GRSF1, HSD17B10, HADHA, HADHB, POLRMT, SHMT2, TUFM, VDAC1";"TFAM, LRRC59, DDX28, ELAC2"
