"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"GO:0046540";"U4/U6 x U5 tri-snRNP complex";2,63122455371124;10;0,0574838798189052;7,57835950751922e-19;2,98804693356075e-07;"SNRPD2, PPIH, PRPF8, USP39, SNRNP27, SNRNP200, LSM5, LSM4, PRPF31, LSM2, RBM42";"SNRPF"
"GO:0000502";"proteasome complex";1,79494388160147;10;0,123740930714646;1,31933178388775e-17;1,79476338116042e-17;"PSMA5, PSMB6, PSMC4, PSMC6, PSMD12, PSME1, PSME2, ADRM1";"PSMC1, PSMD7, PSME3"
"GO:0071013";"catalytic step 2 spliceosome";1,25938952998145;10;0,0931055668340635;1,83433710278693e-17;5,48805617268984e-07;"SNRPD2, SYNCRIP, PRPF8, SF3B2, RALY, SNRNP200, LSM2, DHX35";"CDC5L, PLRG1, SNRPF, CRNKL1, CWC15, CWC22"
"GO:0005635";"nuclear envelope";1,57737492625584;10;0,134052674940867;2,28986851711666e-17;2,00450784498173e-09;"EMD, GLE1, KPNB1, LMNA, LMNB1, NUP88, NUP98, RANBP1, RANGAP1, SREBF1, UBE2I, XPO1, MTMR6, RAB40B, BICD2, RTN4, ROGDI, CALR3, CC2D1B";"BNIP1, BNIP3, GPER1, S100A6, RAE1, NUP93, DHRS2, ATF6, NUP205, NUP35"
"GO:0071007";"U2-type catalytic step 2 spliceosome";1,87109301597244;10;0,0698124799658083;1,90411265718325e-13;0,000121778019474562;"SNRPD2, PRPF8";"CDC5L, PLRG1, SNRPF, CRNKL1, CWC15, CWC22"
"GO:0005681";"spliceosomal complex";1,40331976197933;10;0,0585255412480543;2,81072886984008e-13;0,000626802509775565;"SNRPD2, SF1, SF3B2, SNRNP200";"CDC5L, PLRG1, SNRPF, CRNKL1, CWC15, CWC22"
"GO:0022626";"cytosolic ribosome";1,38485502826908;10;0,108545250560957;6,80037845688344e-13;3,68709408797446e-10;"RPL12, RPL17, RPL18, RPL22, RPL24, RPL36A, RPLP1, RPS12, RPS17, RPS19, RPL36, EIF2AK4";"RPL30, RPL31, RPS27"
"GO:0071005";"U2-type precatalytic spliceosome";1,40331976197933;10;0,0413267068860127;8,3212282912716e-13;2,58245661142316e-05;"SNRPD2, PRPF8, SF3B2, SNRNP200, LSM5, LSM4, PRPF31, LSM2";"SNRPF, CWC22"
"GO:0090575";"RNA polymerase II transcription regulator complex";1,46179141872847;10;0,0579187817258883;2,78409727773598e-12;6,68702066065579e-06;"ATF3, CEBPB, CEBPG, CHD4, CREB1, DBP, E2F1, E2F3, FOSL2, JUNB, NFYB, RARA, STAT6, NR1H3, CREB3, BATF, ADNP, BACH2";"RFXAP, ATF6"
"GO:0022625";"cytosolic large ribosomal subunit";1,43195894079523;10;0,0735930735930736;8,89485696391463e-12;4,93952757907143e-08;"RPL12, RPL17, RPL18, RPL22, RPL24, RPL36A, RPLP1, RPL36";"RPL30, RPL31"
