"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"hsa03040";"Spliceosome";0,995876739583833;10;0,135;1,15299365855317e-23;1,47870406689161e-08;"RNU5F-1, DDX46, SNRPD2, SF3B6, U2SURP, LSM2, LSM4, LSM5, PPIH, PRPF31, SNRNP27, SNRNP200, PRPF8, DDX23, HSPA2, CCDC12, AQR, ACIN1, NCBP1, HNRNPA1L2, HNRNPC";"RNU6-1, CDC5L, PPIL1, THOC3"
"hsa04650";"Natural killer cell mediated cytotoxicity";2,22516209000763;10;0,2875;9,6513271355488e-23;5,07640664512706e-13;"KIR3DL3, KIR2DL1, KIR2DL3, KLRC1, PTPN6, ICAM1, PTK2B, VAV1, RAC2, RAC3, MAP2K1, MAPK1, KLRC2, KLRC3, LCK, FCGR3A, FCGR3B, NCR1, FCER1G, CD247, ZAP70, SYK, PLCG2, PIK3R1, PIK3R2, FYN, SHC1, KRAS, ARAF, RAF1, MICA, ULBP1, PPP3CB, PPP3CC, PPP3R1, NFATC2, SH2D1B, TNFSF10, TNFRSF10A, FASLG, BID";"VAV2, MAPK3, NCR3, LAT, PIK3R3, IFNA4, IFNA7, IFNA21, RAET1L"
"hsa04662";"B cell receptor signaling pathway";2,66794117931041;10;0,424621212121212;1,37367830420052e-20;1,61408046109417e-16;"CD79A, LYN, SYK, BTK, VAV1, RAC2, RAC3, PLCG2, PPP3CB, PPP3CC, PPP3R1, NFATC2, KRAS, RAF1, MAP2K1, MAPK1, BCL10, MALT1, IKBKB, NFKB1, NFKBIB, NFKBIE, CD81, CD19, PIK3R1, PIK3R2, AKT2, INPP5D, INPPL1, LILRB1, PTPN6, PIK3AP1";"VAV2, RASGRP3, MAPK3, PIK3R3, FCGR2B"
"hsa04140";"Autophagy - animal";1,79030184156042;10;0,43;5,54369136522987e-20;1,27962104337016e-09;"PIK3R1, PIK3R2, PDPK1, AKT2, KRAS, RAF1, MAP2K1, MAPK1, HIF1A, DDIT4, MTOR, MLST8, ULK1, WIPI1, ATG9A, RAB8A, RAB39B, SQSTM1, TANK, RAB1A, RRAGC, RRAGD, STK11, PRKAA1, PRKACA, UVRAG, CAMKK2, ERN1, EIF2AK3, EIF2AK4, ATG16L2, RAB33B, MAP1LC3B2, CTSD";"IRS1, PIK3R3, MAPK3, BNIP3, TRAF6, ATG7, MAP1LC3C, ATG4C, LAMP1, RAB7B"
"hsa03010";"Ribosome";0,873450292397661;10;0,115;7,23115557621392e-20;5,42562468368719e-08;"MRPS6, RPS12, RPS17, RPS19, RPS27L, MRPL10, MRPL16, MRPL18, MRPL28, MRPL34, MRPL35, RPL11, RPL12, RPL18, RPL22, RPL24, RPL36, RPL36A, RPLP1";"RPS27, MRPL27, MRPL30, RPL31"
"hsa05135";"Yersinia infection";1,77221798457496;10;0,356792929292929;2,34659926300999e-19;1,27634409896189e-12;"PTK2B, CRKL, RAC2, RAC3, WIPF3, CDC42, WAS, ARHGEF1, PKN1, RPS6KA3, RPS6KA1, IL1B, MYD88, TRAF2, TAB2, IKBKB, NFKB1, MAP2K1, MAPK1, MAP2K3, MAPK13, MAPK14, MAP2K4, MAP2K7, PIK3R1, PIK3R2, AKT2, CD8A, LCK, ZAP70, VAV1, NFATC2";"DOCK1, PIP5K1B, ACTR3C, SKAP2, TLR4, TRAF6, MAPK3, PIK3R3, LAT, VAV2"
"hsa05205";"Proteoglycans in cancer";1,54336365651761;10;0,454772727272727;4,7839499879906e-19;4,90030923737507e-10;"VAV1, KRAS, RAF1, ARAF, MAP2K1, MAPK1, CDC42, ELK1, FLNA, ARHGEF1, PIK3R1, PIK3R2, AKT2, PPP1CC, PPP1R12C, CAMK2G, DROSHA, STAT3, MTOR, PDPK1, EIF4B, TGFB1, PDCD4, CTNNB1, HIF1A, TFAP4, FASLG, PLAUR, ITGAV, EZR, PLCG2, NUDT16L1, WNT3A, WNT6, PRKACA, MAPK13, MAPK14, PTPN6";"VAV2, MAPK3, CCND1, ANK3, PIK3R3, CAMK2A, TLR4, IL12B, TIMP3, HPSE2, COL1A1, COL1A2, FZD3, RDX, FGF2, WNT2B, WNT7B"
"hsa04666";"Fc gamma R-mediated phagocytosis";2,12100556664557;10;0,2975;5,8405676204947e-19;1,56267646018889e-15;"FCGR3A, FCGR3B, LYN, SYK, PIK3R1, PIK3R2, AKT2, PLCG2, RAF1, MAP2K1, MAPK1, MARCKSL1, PLD1, SPHK2, VAV1, CDC42, WAS, VASP, RAC2, LIMK2, CRKL, INPP5D, INPPL1, DNM2, BIN1";"HCK, PIK3R3, MAPK3, PLA2G4A, VAV2, ACTR3C, PIP5K1B, DOCK1, FCGR2B, LAT"
"hsa05203";"Viral carcinogenesis";1,6571388946675;10;0,592979797979798;2,11199348926994e-18;6,31962084036419e-14;"KRAS, MAPK1, CREB1, ATF2, CREB3, CREB3L4, YWHAB, YWHAQ, JAK1, STAT3, STAT5A, STAT5B, PIK3R1, PIK3R2, NFKB2, NFKB1, CDK2, PRKACA, TBPL1, GTF2H2C, SKP2, TRAF2, TRAF3, JAK3, LYN, SYK, CHD4, HDAC1, HDAC4, HDAC6, PKM, KAT2A, CDC42, IRF7, MAPKAPK2, CASP8, C3";"MAPK3, YWHAH, PIK3R3, LTBR, TBPL2, CCND1, DLG1, PSMC1, HDAC9, VAC14, CCR4"
"hsa04660";"T cell receptor signaling pathway";2,25600592095823;10;0,418125983452617;2,60274595840559e-18;3,34946278070039e-14;"CD247, CD8A, LCK, FYN, ZAP70, NCK1, NCK2, VAV1, CDC42, MAPK13, MAPK14, PPP3CB, PPP3CC, PPP3R1, NFATC2, KRAS, RAF1, MAP2K1, MAPK1, BCL10, MALT1, MAP2K7, IKBKB, NFKB1, NFKBIB, NFKBIE, PIK3R1, PIK3R2, PDPK1, AKT2, MAP3K8, PDCD1, PTPN6, CBLB";"LAT, VAV2, PAK3, DLG1, MAPK3, PIK3R3"
