"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"hsa03040";"Spliceosome";0,948496692496693;10;0,163697274250038;1,47027404586996e-28;2,26823244155737e-08;"RNU5F-1, DDX46, SNRPD2, SF3B2, SF3B6, LSM2, LSM4, LSM5, PPIH, PRPF31, SNRNP27, USP39, SNRNP200, PRPF8, HSPA2, CCDC12, AQR, ACIN1, NCBP1, HNRNPA1L2, HNRNPC";"RNU6-1, LSM7, CDC5L, CWC15, PPIL1, THOC3, ALYREF"
"hsa03010";"Ribosome";0,936527567567568;10;0,157902010050251;4,99758554940385e-23;2,85445944931626e-12;"MRPS6, RPS12, RPS17, RPS19, MRPL4, MRPL10, MRPL16, MRPL18, MRPL28, MRPL34, MRPL35, RPL8, RPL11, RPL12, RPL17, RPL17-C18orf32, RPL18, RPL22, RPL24, RPL36, RPL36A, RPLP1";"RPS14, RPS27, MRPL27, MRPL30, RPL23, RPL30, RPL31"
"hsa04662";"B cell receptor signaling pathway";2,20744166951762;10;0,42;3,13287286299368e-21;1,02877249214577e-15;"CD79A, LYN, SYK, BTK, VAV1, RAC2, RAC3, PLCG2, PPP3CB, PPP3CC, PPP3R1, NFATC2, KRAS, RAF1, MAP2K1, MAPK1, BCL10, IKBKB, NFKB1, NFKBIB, CD81, CD19, PIK3R1, PIK3R2, AKT2, INPP5D, INPPL1, CD72, PTPN6, PIK3AP1";"VAV2, RASGRP3, NRAS, MAPK3, CHUK, FCGR2B"
"hsa05161";"Hepatitis B";1,90736756756757;10;0,572878787878788;5,61517015787831e-21;4,52918191497753e-15;"TGFB1, TGFBR1, TGFBR2, CDKN1A, FASLG, DDB1, YWHAB, YWHAQ, MAP2K4, PIK3R1, PIK3R2, AKT2, IKBKB, NFKB1, CASP8, BID, CDK2, E2F1, E2F3, NFATC2, JAK1, JAK3, STAT3, STAT2, STAT5A, STAT5B, STAT6, PTK2B, KRAS, ATF2, CREB1, CREB3, CREB3L4, PCNA, ARAF, RAF1, MAP2K1, MAPK1, ELK1, MYD88, TAB1, TAB2, MAP2K3, MAPK13, MAPK14, MAP2K7, TRAF3, IRF7";"TGFB3, CHUK, CASP12, NRAS, SMAD4, MAPK3, TLR4, TRAF6, IL6, TLR3, IFNA4, IFNA6, IFNA7, IFNA13, IFNA21"
"hsa04650";"Natural killer cell mediated cytotoxicity";1,93007432432432;10;0,3;1,17668147117359e-20;3,7314267880234e-12;"KIR3DL3, KIR2DL1, KIR2DL3, KLRC1, PTPN6, ICAM1, PTK2B, VAV1, RAC2, RAC3, MAP2K1, MAPK1, KLRC2, KLRC3, LCK, FCGR3A, FCGR3B, NCR1, FCER1G, CD247, ZAP70, SYK, PLCG2, PIK3R1, PIK3R2, FYN, SHC1, KRAS, ARAF, RAF1, MICA, PPP3CB, PPP3CC, PPP3R1, NFATC2, SH2D1B, TNFSF10, TNFRSF10A, FASLG, BID";"VAV2, MAPK3, NCR3, LAT, NRAS, IFNA4, IFNA6, IFNA7, IFNA13, IFNA21, RAET1L"
"hsa05012";"Parkinson disease";1,31759740540541;10;0,402045454545455;2,06919243003996e-20;2,2400537792727e-10;"GNAL, GNAS, GNAI2, PRKACA, UBA1, UBE2L3, UBE2J2, UBE2J1, UBE2G1, PSMA5, PSMB6, PSMC4, PSMC6, PSMD12, ADRM1, CALM1, CALML6, CAMK2G, MAPT, DDIT3, ERN1, EIF2AK3, SLC39A2, SLC39A1, SLC39A5, NDUFA4L2, NDUFA5, NDUFA11, NDUFB11, NDUFS2, SDHB, COX6A2, COX6B1, COX6B2, PINK1, VDAC1, SLC25A5, PARK7, MFN2, KIF5A, TUBA1B, TUBA1A, TUBB, TUBB1, TUBB4B, NFE2L2, DAXX, KEAP1";"PRKACG, PSMC1, PSMD7, CAMK2A, ATF6, SLC39A9, SLC39A11, SLC39A12, NDUFA8, NDUFA13, NDUFB8, NDUFS4, NDUFS7, UQCRB, LRRK2, KIF5C, KLC3, TUBA1C, TUBB8, TXN2"
"hsa04010";"MAPK signaling pathway";1,39829924770131;10;0,4575;3,6497947195502e-20;5,4935476906086e-16;"CACNG3, PRKACA, PPP3CB, PPP3CC, PPP3R1, RAP1B, FGF22, PDGFB, PDGFD, VEGFB, KRAS, ARAF, RAF1, MAP2K1, MAPK1, MKNK2, RPS6KA3, RPS6KA1, ELK1, SRF, MAPT, IL1A, IL1B, TGFB1, TGFBR1, TGFBR2, FASLG, RAC2, RAC3, CDC42, TRAF2, DAXX, MYD88, GADD45A, TAB1, TAB2, MAP4K2, MAP3K8, MAP3K11, MAP2K4, MAP2K7, MAP2K3, MAPK8IP1, FLNA, CRKL, MAPK13, MAPK14, MAPKAPK2, ATF2, DDIT3, AKT2, DUSP2, DUSP8, DUSP10, HSPA2, NR4A1, IKBKB, NLK, NFKB1, NFKB2, RELB";"CACNA1A, CACNA1D, CACNA2D1, CACNA2D3, CACNB4, PRKACG, GNG12, RASGRP3, RAPGEF2, FGF2, IGF1, PDGFC, PDGFRB, NRAS, MAPK3, PLA2G4A, TGFB3, TRAF6, MAPKAPK3, MEF2C, HSPB1, PPP5C, CHUK"
"hsa04064";"NF-kappa B signaling pathway";1,74011650485437;10;0,3225;1,42724784292798e-19;1,57153692555924e-12;"LCK, ZAP70, SYK, LYN, BTK, PLCG2, BCL10, IL1B, MYD88, TRAF2, TRAF3, TNFRSF11A, TAB1, TAB2, TNFRSF13C, IKBKB, UBE2I, NFKB1, XIAP, GADD45A, NFKB2, CCL4L2, VCAM1, CSNK2B, RELB, ICAM1";"LAT, TRAF6, EDAR, TLR4, LTBR, CHUK, ERC1, BCL2A1, CXCL3, CCL13, CCL21"
"hsa05235";"PD-L1 expression and PD-1 checkpoint pathway in cancer";1,95941451563923;10;0,484974747474747;4,12363626399049e-19;2,91619098538265e-12;"HIF1A, KRAS, RAF1, MAP2K1, MAPK1, PIK3R1, PIK3R2, AKT2, MTOR, IKBKB, NFKBIB, NFKB1, JAK1, STAT3, MYD88, NFATC2, PDCD1, PTPN6, BATF, CSNK2B, LCK, CD247, ZAP70, MAP2K3, MAPK13, MAPK14, PPP3CB, PPP3CC, PPP3R1";"NRAS, MAPK3, ALK, CHUK, TLR4, TRAF6, LAT"
"hsa05160";"Hepatitis C";1,6147027027027;10;0,570353535353535;2,71108406659105e-18;5,93361531999845e-12;"CD81, CLDN9, TRAF3, IRF7, IKBKB, NFKB1, EIF2AK3, EIF2AK4, STAT3, SOCS3, JAK1, STAT2, PPP2R1A, KRAS, RAF1, ARAF, YWHAB, YWHAQ, MAP2K1, MAPK1, PIK3R1, PIK3R2, AKT2, CTNNB1, CDKN1A, CDK2, E2F1, E2F3, TRAF2, FASLG, CASP8, BID, NR1H3";"CLDN11, CLDN10, CLDN2, CLDN1, IFNA4, IFNA6, IFNA7, IFNA13, IFNA21, TLR3, TRAF6, CHUK, NRAS, YWHAH, MAPK3, CDK6, PSME3, CCND1"
