"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"hsa03040";"Spliceosome";1,17761098907356;10;0,0987019645941278;8,31124508197415e-25;3,51042389600434e-05;"DDX46, SNRPD2, SF3B2, SF3B6, LSM2, LSM4, LSM5, PPIH, PRPF31, SNRNP27, USP39, SNRNP200, PRPF8, HSPA2, CCDC12, ACIN1, NCBP1, HNRNPA1L2";"SNRPF, CDC5L, PLRG1, CWC15, CRNKL1, THOC3"
"hsa03013";"Nucleocytoplasmic transport";1,22620173376835;10;0,087083193933311;5,49712549468745e-19;3,55256049982422e-05;"GLE1, NUP98, NUP88, RANGAP1, UBE2I, KPNB1, XPO1, RANBP17, NCBP1, ACIN1, UPF2";"RAE1, SUMO1, NUP205, NUP93, NUP35, SAP18, THOC3"
"hsa03050";"Proteasome";1,87109301597244;10;0,124381570810142;5,91204247520389e-19;1,697134736062e-10;"PSMD12, ADRM1, PSMC6, PSMC4, PSME1, PSME2, PSMA5, PSMB6, PSMF1";"PSMD7, PSMC1, PSME3"
"hsa04140";"Autophagy - animal";1,75414970247416;10;0,312177901463616;2,17845595057423e-16;1,71097344252383e-07;"PIK3R1, PIK3R2, PDPK1, KRAS, RAF1, DDIT4, MLST8, ULK1, WIPI1, ATG9A, RAB8A, SQSTM1, TANK, RAB1A, PRKACA, UVRAG, PRAP1, EIF2AK4, ZFYVE1, ATG16L2, MAP1LC3B2, ATG4D, CTSD";"NRAS, BNIP3, RB1CC1, C9orf72, PRKACG, BECN1, TRAF6, ATG7, MAP1LC3C, ATG4C, LAMP1, RAB7B"
"hsa05012";"Parkinson disease";1,23492139054181;10;0,25449402558951;7,47754474395353e-16;4,2212133716838e-09;"GNAI2, PRKACA, UBE2L3, UBE2J2, UBE2J1, UBE2G1, PSMA5, PSMB6, PSMC4, PSMC6, PSMD12, ADRM1, CALM1, CAMK2G, MAPT, SLC39A2, SLC39A5, NDUFA4L2, NDUFA5, NDUFA11, NDUFB11, NDUFS2, COX6A2, COX6B1, COX6B2, PINK1, PARK7, KIF5A, TUBA1B, TUBA1A, TUBB, TUBB1, TUBB4B, DAXX";"PRKACG, PSMC1, PSMD7, ATF6, SLC39A9, NDUFA8, NDUFS4, UQCRB, LRRK2, TXN2"
"hsa04660";"T cell receptor signaling pathway";1,87572443432881;10;0,292767926842868;4,4953928622532e-15;9,97696095649151e-14;"CD247, CD8A, LCK, FYN, ZAP70, NCK1, CDC42, MAPK13, PPP3CB, PPP3R1, NFATC2, KRAS, RAF1, MAP2K7, NFKB1, NFKBIB, PIK3R1, PIK3R2, PDPK1, MAP3K8, PDCD1, PTPN6, CBLB";"LAT, PAK3, DLG1, NRAS"
"hsa05203";"Viral carcinogenesis";1,74351849215614;10;0,531117627891821;4,73786301421918e-14;1,01563569107906e-13;"KRAS, CREB1, CREB3, YWHAB, YWHAQ, JAK1, STAT5A, STAT5B, PIK3R1, PIK3R2, NFKB2, NFKB1, CCNE1, CDK2, CDKN1A, PRKACA, TBPL1, TRAF2, TRAF3, JAK3, CHD4, HDAC1, HDAC4, HDAC6, PKM, KAT2A, CDC42, RANBP1, IRF7, MAPKAPK2, CASP8, C3";"NRAS, YWHAH, PRKACG, TBPL2, CCND1, CDK6, DLG1, PSMC1, HDAC9"
"hsa04110";"Cell cycle";1,54696666674887;10;0,309636062861869;1,01563569107906e-13;3,31330035126621e-13;"HDAC1, E2F1, E2F3, TGFB1, ZBTB17, CDKN1A, CCNE1, CDK2, CCNB2, CDC25C, YWHAB, YWHAQ, WEE1, PKMYT1, SMC1A, STAG2, GADD45A, PCNA, SFN, CDC25A, MCM5";"CCND1, CDK6, TGFB3, YWHAH, ANAPC10, PTTG1, SMC1B"
"hsa05169";"Epstein-Barr virus infection";1,6839837143752;10;0,340909090909091;1,82215277922522e-13;3,06349900028706e-10;"CD19, MYD88, TAB1, NFKB1, TRAF3, IRF7, JAK1, CASP8, BID, BCL2L11, CD247, PSMC4, PSMC6, PSMD12, ADRM1, SIN3A, HDAC1, RUNX3, CDKN1A, GADD45A, PIK3R1, PIK3R2, RELB, NFKB2, NFKBIB, MAP2K7, TRAF2, MAP2K3, MAPK13, ENTPD1, CD58, ICAM1, JAK3, CCNE1, CDK2, E2F1, E2F3";"HLA-DPA1, HLA-DQB1, TRAF6, IFNA6, IFNA7, IFNA13, IFNA21, PSMC1, PSMD7, CCND1, CDK6"
"hsa04630";"JAK-STAT signaling pathway";1,35259736094393;10;0,092979797979798;1,82215277922522e-13;3,9849480552837e-05;"IL4R, IL21R, IL13, IL26, LEP, EPOR, LEPR, JAK1, JAK3, STAT5A, STAT5B, STAT6, SOCS3, SOCS5, CDKN1A, PTPN6, PIAS4, RAF1, PIK3R1, PIK3R2";"IL20RA, IL20RB, IL22RA2, IL12B, GHR, IFNA6, IFNA7, IFNA13, IFNA21, PDGFRB, SOCS2, CCND1"
