"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"hsa03040";"Spliceosome";3,90215015370682;10;0,0250753768844221;7,68848864325029e-14;1,72603546878371e-07;"SF3A2, SF3B4, U2AF1, U2AF1L4, RBM17, LSM6, PPIH, PRPF31, USP39, PRPF19, ISY1, CCDC12, RBM8A, MAGOHB, PCBP1, SRSF2, SRSF4, SRSF5, SRSF7, TRA2B";""
"hsa04650";"Natural killer cell mediated cytotoxicity";3,70551836861768;10;0,085;1,34279539204024e-13;2,36511145534456e-11;"KIR3DL2, KIR3DL1, KLRC1, PTPN6, ITGB2, VAV1, RAC2, TYROBP, LCK, FCGR3A, FCER1G, CD247, LAT, HCST, GZMB, PRF1";"IFNAR1"
"hsa05135";"Yersinia infection";3,10004151100041;10;0,29;1,63262077590356e-12;1,63262077590356e-12;"RHOG, RAC2, ARF6, ARPC4, CDC42, RPS6KA1, NFKBIA, CD8A, LCK, LAT, VAV1, NFATC3";"CRK, PIP5K1A, MAPK12"
"hsa04660";"T cell receptor signaling pathway";3,86737851867379;10;0,135;3,99374101291914e-12;3,99374101291914e-12;"CD3E, CD247, CD8A, LCK, LAT, VAV1, GRAP2, CDC42, NFATC3, PRKCQ, NFKBIA, NFKBIB, PTPN6";"MAPK12"
"hsa05235";"PD-L1 expression and PD-1 checkpoint pathway in cancer";4,0753354695174;10;0,14;5,86906407896656e-11;5,86906407896656e-11;"RPS6KB2, NFKBIA, NFKBIB, NFATC3, PTPN6, LCK, CD3E, CD247, LAT, PRKCQ";"HIF1A, CSNK2A1, MAPK12"
"hsa04110";"Cell cycle";2,63625577313421;10;0,0975;7,98503238112306e-11;2,35995479241656e-07;"CCND2, E2F1, ZBTB17, CDK2, MAD2L2, CHEK1, PCNA, MCM5, MCM6";"PLK1, CDC27, ANAPC13"
"hsa04130";"SNARE interactions in vesicular transport";4,22732933318238;10;0,05;1,95904547167925e-10;3,73407415973027e-05;"STX3, STX8, VAMP8";"STX6, SEC22B"
"hsa03013";"Nucleocytoplasmic transport";3,79228379015585;10;0,0278626943005181;1,21822059900411e-09;3,26017408931262e-05;"NUP85, NUP210, RBM8A, MAGOHB, NXT1, THOC6";"SEH1L, NUP35, TNPO1, IPO5, IPO7, CSE1L, NMD3, UPF3A"
"hsa04015";"Rap1 signaling pathway";2,30245801545176;10;0,1925;4,52270340466285e-09;3,97710439664332e-07;"CALM1, LAT, SKAP1, SIPA1, RAC2, PFN1, VASP, EVL, CDC42, VAV1, ITGB2";"CRK, CTNNB1, RAPGEF2, SIPA1L3, PRKCI, MAPK12"
"hsa04666";"Fc gamma R-mediated phagocytosis";4,15537479134098;10;0,24;5,5987818857384e-09;5,5987818857384e-09;"FCGR3A, RPS6KB2, VAV1, CDC42, VASP, ARPC4, RAC2, ARF6, LAT, BIN1";"WASF3, CFL2, PIP5K1A, CRK"
"hsa04670";"Leukocyte transendothelial migration";2,81563403292698;10;0,23;1,33680146949034e-08;1,33680146949034e-08;"ITGB2, PECAM1, SIPA1, VASP, CXCR4, VAV1, RAC2, CDC42, RHOH";"CTNNB1, MAPK12"
"hsa04144";"Endocytosis";2,53639759990943;10;0,1425;1,44998565873932e-08;6,82486520935619e-08;"ARF6, BIN1, CXCR4, ARRB1, ARRB2, ARPC4, VPS37B, CHMP4A, CDC42, GIT1, ACAP1, AGAP2";"PIP5K1A, CLTC, VPS35, STAM2, PDCD6IP, SPG21, SNX5, RAB10, KIF5B, PRKCI"
"hsa05132";"Salmonella infection";2,25913956267237;10;0,277305699481865;1,68622706717675e-08;2,37546770448537e-06;"VPS16, ACTR1B, TUBA4A, PFN1, RHOG, FHOD1, CDC42, ARPC4, ARF6, NFKBIA, BAX, RHOH";"DYNC1H1, DYNC1LI2, KIF5B, ACBD3, WASF3, CSE1L, MAPK12, CTNNB1"
"hsa05131";"Shigellosis";2,57146300451647;10;0,145;3,83876241811795e-08;0,000216903556693125;"HCLS1, ARPC4, CDC42, PFN1, ARF6, RPS6KB2, BAX, PPID, NFKBIA, NFKBIB, PRKCQ, U2AF1, U2AF1L4, CCL5";"CRK, HK2, ARHGEF2, MAPK12, RRAGC, RPTOR"
"hsa04114";"Oocyte meiosis";2,25003012895191;10;0,08;2,76331410529919e-07;0,00233366726688982;"RPS6KA1, CDK2, PPP1CA, MAD2L2, CALM1";"MAPK12, PLK1, CDC27, ANAPC13, CAMK2D"
"hsa04064";"NF-kappa B signaling pathway";2,43789672224304;10;0,05;3,70389703913826e-07;0,000216903556693125;"LCK, LAT, PRKCQ, PIDD1, NFKBIA, BCL2A1, CCL4";"ERC1, CSNK2A1"
"hsa04659";"Th17 cell differentiation";3,61671509616715;10;0,1025;3,70389703913826e-07;6,08568569902601e-06;"IL12RB1, LCK, CD3E, CD247, LAT, NFATC3, PRKCQ, NFKBIA, NFKBIB, GATA3, IL27RA";"MAPK12, HIF1A, STAT6"
"hsa05166";"Human T-cell leukemia virus 1 infection";2,01083773686513;10;0,11;7,48473321646672e-07;5,72257906253503e-06;"KAT5, CCND2, ITGB2, NFATC3, CDK2, E2F1, CHEK1, CD3E, NFKBIA, GPS2, CRTC2, LCK, BAX";"SLC25A4, CDC27, ANAPC13"
"hsa04152";"AMPK signaling pathway";2,55753424657534;10;0,0432253886010363;8,10405772192975e-07;0,00233366726688982;"STRADA, CRTC2, RPS6KB2";"CAMKK2, PFKFB4, PFKM, EEF2, GYS1, ACACA, RAB10, RPTOR"
"hsa04722";"Neurotrophin signaling pathway";2,83732612871224;10;0,1125;1,13051562957949e-06;0,000335480471575068;"RPS6KA1, MAPKAPK2, NFKBIB, NFKBIA, CALM1, MATK, ARHGDIB, CDC42, BAX";"CRK, MAPK12, CAMK2D"
"hsa04520";"Adherens junction";2,95913053322767;10;0,180582901554404;1,16745055118338e-06;1,93744856850905e-06;"CDC42, RAC2, ACP1, PTPN6";"WASF3, CTNNB1, CSNK2A1"
"hsa04810";"Regulation of actin cytoskeleton";2,2320298879203;10;0,132266839378238;1,43113041385389e-06;1,77441467188981e-05;"CXCR4, ITGB2, ITGB7, VAV1, RGCC, RAC2, CDC42, GIT1, PPP1CA, PPP1R12C, ARPC4, PFN1";"ITGA6, CRK, RRAS2, MYH10, PIP5K1A, CFL2"
"hsa04510";"Focal adhesion";1,8411414050104;10;0,139948186528497;1,51474231503324e-06;1,04904306040438e-05;"ITGB7, PPP1CA, PPP1R12C, VASP, PARVG, VAV1, RAC2, CDC42, CCND2";"ITGA6, PIP5K1A, CTNNB1, CRK"
"hsa04721";"Synaptic vesicle cycle";1,8355508946713;10;0,01;1,83269460227907e-06;0,0161942157243345;"STX3, TCIRG1";"NSF, CLTC, ATP6V1A"
"hsa05100";"Bacterial invasion of epithelial cells";3,23482592452217;10;0,241670984455959;2,15869443476424e-06;2,15869443476424e-06;"CDC42, ARPC4, HCLS1, MAD2L2, RHOG";"CTNNB1, CRK, CLTC"
"hsa04630";"JAK-STAT signaling pathway";1,17652177827124;10;0,0100251256281407;2,34084610319173e-06;0,0121310616529715;"IL27RA, IL12RB1, CCND2, PTPN6";"IFNAR1, STAT6, STAM2"
"hsa03430";"Mismatch repair";4,85223888678326;10;0,06;2,76841708419755e-06;0,000322659319207052;"PCNA, RPA1, RPA2, LIG1";""
"hsa04914";"Progesterone-mediated oocyte maturation";2,03440224159402;10;0,035;3,37188869088978e-06;0,00557514228042362;"CDK2, RPS6KA1, MAD2L2";"MAPK12, PLK1, CDC27, ANAPC13"
"hsa04662";"B cell receptor signaling pathway";2,11901571638003;10;0,0802010050251256;3,50386766750351e-06;3,50386766750351e-06;"VAV1, RAC2, NFATC3, NFKBIA, NFKBIB, PTPN6";""
"hsa05169";"Epstein-Barr virus infection";1,81352428393524;10;0,065;3,61931854984397e-06;0,000172950907856337;"NFKBIA, BAX, CD3E, CD247, RUNX3, NFKBIB, CCND2, CDK2, E2F1";"IFNAR1, RBPJ, HES1, MAPK12"
