"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"hsa04066";"HIF-1 signaling pathway";6,34494477485132;10;0,04;1,0616166588319e-05;0,000701110477494082;"EIF4E, HIF1A, EGLN1, PFKM";"IFNG"
"hsa05418";"Fluid shear stress and atherosclerosis";4,91963109354414;10;0,045;5,30624980760333e-05;5,30624980760333e-05;"MAPK12, BMPR1A";"CALM1, GSTP1, IFNG"
"hsa00061";"Fatty acid biosynthesis";15,9743315508021;10;0,01;7,67262896886568e-05;0,0319702057188266;"ACACA, ACSL1";""
"hsa04015";"Rap1 signaling pathway";3,95481023830538;10;0,055;0,000132048121736327;0,000132048121736327;"RAPGEF2, SIPA1L3, PRKCI, MAPK12";"CALM1, PFN1"
"hsa04910";"Insulin signaling pathway";4,99197860962567;10;0,06;0,000193813546828188;0,000193813546828188;"PRKCI, ACACA, EIF4E";"PPP1CA, CALM1"
"hsa05211";"Renal cell carcinoma";4,1779020979021;10;0,025;0,00020216520784325;0,000605237309157738;"HIF1A, EGLN1";""
"hsa04721";"Synaptic vesicle cycle";3,57320574162679;8;0,005;0,000406958595156254;0,0184570302256907;"NSF, ATP6V1A";""
"hsa05230";"Central carbon metabolism in cancer";3,93570487483531;10;0,025;0,000701110477494082;0,000701110477494082;"HIF1A, PFKM";""
"hsa05235";"PD-L1 expression and PD-1 checkpoint pathway in cancer";4,57691521961185;10;0,03;0,000701110477494082;0,000701110477494082;"HIF1A, MAPK12";"IFNG"
"hsa04659";"Th17 cell differentiation";3,77171717171717;10;0,02;0,000701110477494082;0,000701110477494082;"MAPK12, HIF1A";"IFNG"
"hsa04919";"Thyroid hormone signaling pathway";3,36649135987979;10;0,025;0,000789113632285881;0,000789113632285881;"HIF1A, NOTCH2, PFKM";""
"hsa05131";"Shigellosis";2,50289065772937;10;0,02;0,00124802926679439;0,0193489379557211;"MAPK12";"ARPC4, PFN1, UBE2N"
