"ID";"Term_Description";"Fold_Enrichment";"occurrence";"support";"lowest_p";"highest_p";"Up_regulated";"Down_regulated"
"hsa04650";"Natural killer cell mediated cytotoxicity";3,61821705426357;10;0,015;2,79770862686744e-08;2,79770862686744e-08;"FAS";"PTPN6, RAC2, TYROBP, FCGR3A, CD247, HCST, GZMB"
"hsa04721";"Synaptic vesicle cycle";3,046919624643;10;0,015;9,5621926632624e-08;0,0216940742207447;"NSF, CLTC, ATP6V1A";"TCIRG1"
"hsa04064";"NF-kappa B signaling pathway";3,3723188078573;10;0,04;1,68733431417242e-06;1,68733431417242e-06;"";"MAP3K14, PIAS4, PIDD1, NFKBIA, BCL2A1, CCL4"
"hsa03013";"Nucleocytoplasmic transport";5,05847821178596;10;0,0125;6,06086031882051e-06;0,00060369744276722;"SEH1L, NUP35, TNPO1, IPO5, IPO7, NMD3, UPF3A";"NXT1, THOC6"
"hsa05170";"Human immunodeficiency virus 1 infection";2,55403556771546;10;0,055;1,45563559969847e-05;1,45563559969847e-05;"CFL2, MAPK12, FAS";"CALM1, RAC2, TNFRSF1B, NFKBIA, APOBEC3G, CD247"
"hsa04662";"B cell receptor signaling pathway";2,93121381611226;10;0,06;1,45563559969847e-05;1,45563559969847e-05;"";"RAC2, NFKBIA, NFKBIB, PTPN6"
"hsa05120";"Epithelial cell signaling in Helicobacter pylori infection";4,96212624584718;10;0,055;1,57114952605847e-05;1,57114952605847e-05;"MAPK12, ATP6V1A";"MAP3K14, NFKBIA, GIT1, TCIRG1"
"hsa05169";"Epstein-Barr virus infection";2,31565891472868;10;0,085;1,57114952605847e-05;1,57114952605847e-05;"FAS, MAPK12";"NFKBIA, CD247, MAP3K14, NFKBIB, CDK2, E2F1"
"hsa05235";"PD-L1 expression and PD-1 checkpoint pathway in cancer";3,25232993641669;10;0,07;1,76776376351511e-05;1,76776376351511e-05;"MAPK12";"NFKBIA, NFKBIB, PTPN6, CD247"
"hsa04110";"Cell cycle";2,73503021424648;10;0,095;1,84664458491682e-05;0,00010591137137465;"CDC27";"E2F1, CDK2, MAD2L2, PCNA, MCM5"
"hsa04722";"Neurotrophin signaling pathway";2,94363421363816;10;0,07;1,86988627190727e-05;1,86988627190727e-05;"MAPK12, CAMK2D";"NFKBIB, NFKBIA, CALM1, MATK"
"hsa04728";"Dopaminergic synapse";2,65151784129238;10;0,0425;1,86988627190727e-05;1,86988627190727e-05;"CAMK2D, MAPK12, KIF5B";"CALM1, PPP1CA, ARRB2"
"hsa04660";"T cell receptor signaling pathway";4,01228029779722;10;0,075;2,04163692612185e-05;2,04163692612185e-05;"MAPK12";"CD247, CD8A, NFKBIA, NFKBIB, MAP3K14, PTPN6"
"hsa05142";"Chagas disease";2,83781729746162;10;0,045;2,04163692612185e-05;2,04163692612185e-05;"MAPK12, FAS";"NFKBIA, CCL3, CD247"
"hsa04966";"Collecting duct acid secretion";4,45319022063208;1;0,015;4,743864106704e-05;4,743864106704e-05;"ATP6V1A";"TCIRG1"
"hsa03410";"Base excision repair";5,26286116983791;10;0,01;5,48654076973564e-05;5,48654076973564e-05;"";"MUTYH, PCNA, LIG1"
"hsa04668";"TNF signaling pathway";2,60772400307284;10;0,0675;8,57497402138776e-05;8,57497402138776e-05;"MAPK12, FAS";"MAP3K14, NFKBIA, TNFRSF1B"
"hsa04210";"Apoptosis";3,43060579959805;10;0,0675;9,04295570709549e-05;9,04295570709549e-05;"FAS";"GZMB, TUBA4A, CTSW, MAP3K14, NFKBIA, BCL2A1, PIDD1"
"hsa05162";"Measles";1,69026198155378;10;0,08;9,04295570709549e-05;9,04295570709549e-05;"FAS";"NFKBIB, NFKBIA, CDK2"
"hsa04145";"Phagosome";3,046919624643;10;0,025;0,000100818257623829;0,0260743499860806;"STX12, ATP6V1A, DYNC1H1, DYNC1LI2";"CORO1A, TCIRG1, TUBA4A, FCGR3A"
"hsa04114";"Oocyte meiosis";3,26806701675419;10;0,09;0,00010591137137465;0,00010591137137465;"MAPK12, CDC27, CAMK2D";"CDK2, PPP1CA, MAD2L2, CALM1"
"hsa05160";"Hepatitis C";1,5135025586462;10;0,05;0,000133308516723253;0,00190340605413387;"FAS";"NFKBIA, CDK2, E2F1"
"hsa04218";"Cellular senescence";2,59769429536871;10;0,065;0,000133308516723253;0,000301786574737513;"MAPK12, SLC25A4";"E2F1, CDK2, PPP1CA, RAD9A, CALM1"
"hsa05161";"Hepatitis B";2,17093023255814;10;0,09;0,000133308516723253;0,00173752587555891;"FAS, MAPK12";"NFKBIA, CDK2, E2F1, PCNA"
"hsa04925";"Aldosterone synthesis and secretion";2,36291725992723;10;0,005;0,000141718703799484;0,028761241091046;"CAMK2D, ATP2B1";"CALM1, CAMK1"
